unit	class	families	line
vayupurana_01_frame-and-cosmogony_iast	other	harivamsa,mahabharata	tasyāṃ jāto mahāyogī vyāso vedavidāṃ varaḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	puruṣāya purāṇāya bhṛguvākyapravarttine
vayupurana_01_frame-and-cosmogony_iast	other	brahmapurana,harivamsa,markandeyapurana,padmapurana,vamanapurana,visnudharma,visnupurana	mānuṣacchadmarūpāya viṣṇave prabhaviṣṇave
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	jātamātrañca yaṃ veda upatasthe sasaṅgrahaḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	matiṃ manthānamāvidhya yenāsau śrutisāgarāt
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	prakāśaṃ janito loke mahābhāratacandramāḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	tasmādahamupaśrutya purāṇaṃ brahmavādinaḥ
vayupurana_01_frame-and-cosmogony_iast	other	padmapurana	sarvajñātsarvavedeṣu pūjitāddīptatejasaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	bhavisyapurana,brahmandapurana,kurmapurana,vayu	purāṇaṃ sampravakṣyāmi yaduktaṃ mātariśvanā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pṛṣṭena munibhiḥ pūrvaṃ naimiṣīyairmahātmabhiḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,sivapurana,vayu	mahadādiviśeṣāntaṃ sṛjatīti viniścayaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana	aṇḍaṃ hiraṇmayañcaiva babhūvāpratimaṃ tataḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	aṇḍasyāvaraṇañcādbhirapāmapi ca tejasā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	vāyunā tasya nabhasā nabho bhūtādinā vṛtam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,kurmapurana,lingapurana,padmapurana,saurapurana,sivapurana,vayu	bhūtādirmahatā caiva avyaktenāvṛto mahān
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	nadīnāṃ parvatānāñca prādurbhāvo'tra śasyate
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	manvantarāṇāṃ sarveṣāṃ kalpānāñcopavarṇanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	ato brahmaṇi sraṣṭṛtvaṃ prajāsargopavarṇanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	kalpānāṃ vatsarāścaiva jagataḥ sthāpanantathā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	sanniveśaḥ purādīnāṃ varṇāśramavibhāgaśaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	vṛkṣāṇāṃ gṛhasaṃsthānāṃ siddhānāñcavināśanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	yojanānāṃ pathāñcaiva sañcaro bahuvistaraḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	svarge sthānavibhāgaśca marttyānāṃ bhuvicāriṇām
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	vṛkṣāṇāmoṣadhīnāñca vīrudhāñca prakīrttanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	devatānāmṛṣīṇāñca dve sṛtī parikīrttite
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	annādīnāṃ tanūnāñca sarjanantyajanantathā
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,matsyapurana,padmapurana,sivapurana,vayu	prathamaṃ sarvaśāstrāṇāṃ purāṇaṃ brahmaṇā smṛtam
vayupurana_01_frame-and-cosmogony_iast	ppl	kirfel,vayu	anantarañca vakrebhyo vedāstasya viniḥsṛtāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,sivapurana,vayu	aṅgāni dharmaśāstrañca vratāni niyamāstathā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	paśūnāṃ puruṣāṇāñca sambhavaḥ parikīrtitaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	nava sargāḥ punaḥ proktā brahmaṇo buddhipūrvakāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	brahmaṇo'vayavebhyaśca dharmādīnāṃ samudbhavaḥ
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,kirfel,vayu	ye dvādaśa prasūyante prajāḥ kalpe punaḥ punaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	tathaiva śatarūpāyāḥ sambhavaśca tataḥ param
vayupurana_01_frame-and-cosmogony_iast	ppl	brahmandapurana,brahmapurana,garudapurana,harivamsa,kirfel,padmapurana,sivapurana,vayu,visnupurana	priyavratottānapādau prasūtyākūtayaśca tāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	kīrttyante dhūtapāpmāno yeṣu lokāḥ pratiṣṭitāḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	ruceḥ prajāpateścordvamākūtyāṃ mitunodbhavaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	prasūtyāmapi dakṣasya kanyānāṃ prabhavastataḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	dākṣāyaṇīṣu cāpyūrddhvaṃ śraddhādyāsu mahātmanām
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	tathā'dharmmasya hiṃsāyāṃ tāmaso'śubhalakṣaṇaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,padmapurana,vayu	bhṛgvādīnāmṛṣīṇāñca prajāsargopavarṇanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	agneḥ prajāyāḥ sambhūtiḥ svāhāyāṃ yatra kīrttitā
