unit	kind	x	y	pct	words
sivapurana_vayaviyasamhita_au	base	0.275022	-0.146150	88.1	
sivapurana_vidyesvarasamhita_au	base	0.388803	-0.396423	96.8	
skandamahapurana_himavatkhanda	base	0.042528	-0.110287	49.2	
skandamahapurana_kasikhanda	base	0.168657	-0.266197	75.4	
skandamahapurana_revakhanda	base	0.085365	-0.155021	60.3	
skandamahapurana_sutasamhita_khanda-4	base	0.410233	-0.253245	97.6	
skandapurana	base	-0.114725	-0.020868	29.4	
skandapurana_adhyaya-1-31_pu	base	-0.063941	-0.001179	35.7	
skandapurana_pasupata_adhyaya174-183_u	base	0.458952	-0.037709	99.2	
vamanapurana_saromahatmya_u	base	0.056942	-0.159926	54.0	
vamanapurana_u	base	-0.106862	-0.208351	31.0	
vayu_ba	base	0.160173	0.489746	72.2	
vayupurana	base	0.158927	0.389754	71.4	
vayupurana_01_frame-and-cosmogony_iast	base	0.346342	0.538181	93.7	
vayupurana_02_pashupata-yoga_iast	base	0.483314	0.007234	100.0	
vayupurana_03_kalpas-and-shiva-lineages_iast	base	0.157774	0.399916	70.6	
vayupurana_04_bhuvana-vinyasa_iast	base	0.127073	0.478704	66.7	
vayupurana_05_jyotis-and-purvardha-close_iast	base	0.252002	0.462492	84.9	
vayupurana_06_prthu-and-prajapati-lineages_iast	base	0.153641	0.683014	69.0	
vayupurana_07_shraddha-kalpa_iast	base	0.251923	0.161610	84.1	
vayupurana_08_manu-candra-vishnu-vamsha_iast	base	-0.110741	0.396820	30.2	
vayupurana_09_upasamhara_iast	base	0.323668	0.414462	92.1	
vayupurana_10_gaya-mahatmya_iast	base	0.238015	-0.291693	83.3	
vayupurana_revakhanda	base	0.079527	-0.275142	59.5	
visnudharma_pu	base	0.062938	-0.174551	55.6	
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	base	-0.010767	-0.242223	41.3	
visnupurana_amsa-1_u	base	0.059114	0.192478	54.8	
visnupurana_amsa-2_u	base	0.177346	0.173114	77.0	
visnupurana_amsa-3_u	base	0.154992	0.095706	69.8	
visnupurana_amsa-4_u	base	-0.132861	0.202501	27.8	
visnupurana_amsa-5_u	base	-0.219413	-0.193863	20.6	
visnupurana_amsa-6_u	base	0.162651	-0.054014	73.0	
visnupurana_u	base	-0.011087	0.065730	40.5	
vayupurana_01_frame-and-cosmogony_iast	resid	0.279469	0.365929	89.7	627
vayupurana_01_frame-and-cosmogony_iast	ppl	0.404727	0.620551	97.6	4015
vayupurana_01_frame-and-cosmogony_iast	vayubd	0.267313	0.433341	88.1	1329
vayupurana_01_frame-and-cosmogony_iast	other	0.232452	0.292572	82.5	320
vayupurana_02_pashupata-yoga_iast	resid	0.494557	-0.021106	100.8	851
vayupurana_02_pashupata-yoga_iast	ppl	-0.008957	0.342265	42.1	40
vayupurana_02_pashupata-yoga_iast	vayubd	0.314104	-0.060984	91.3	46
vayupurana_02_pashupata-yoga_iast	other	0.504626	-0.013195	100.8	1267
vayupurana_03_kalpas-and-shiva-lineages_iast	resid	0.187277	0.252674	78.6	2355
vayupurana_03_kalpas-and-shiva-lineages_iast	ppl	0.249385	0.873140	84.1	1289
vayupurana_03_kalpas-and-shiva-lineages_iast	vayubd	0.303575	0.673563	91.3	1641
vayupurana_03_kalpas-and-shiva-lineages_iast	other	0.086314	0.218941	61.1	3593
vayupurana_04_bhuvana-vinyasa_iast	resid	0.093942	0.318133	61.9	2946
vayupurana_04_bhuvana-vinyasa_iast	ppl	0.061107	0.890762	55.6	121
vayupurana_04_bhuvana-vinyasa_iast	vayubd	0.187123	0.591850	78.6	2945
vayupurana_04_bhuvana-vinyasa_iast	other	0.097254	0.432651	62.7	683
vayupurana_05_jyotis-and-purvardha-close_iast	resid	0.196469	0.338089	78.6	460
vayupurana_05_jyotis-and-purvardha-close_iast	ppl	0.283643	0.935590	89.7	345
vayupurana_05_jyotis-and-purvardha-close_iast	vayubd	0.250978	0.447636	84.1	7950
vayupurana_05_jyotis-and-purvardha-close_iast	other	0.298439	0.449255	90.5	217
vayupurana_06_prthu-and-prajapati-lineages_iast	resid	0.190650	0.649103	78.6	970
vayupurana_06_prthu-and-prajapati-lineages_iast	ppl	0.120864	0.774337	65.9	3755
vayupurana_06_prthu-and-prajapati-lineages_iast	vayubd	0.196583	0.657330	78.6	4218
vayupurana_06_prthu-and-prajapati-lineages_iast	other	-0.410803	0.441672	7.1	107
vayupurana_07_shraddha-kalpa_iast	resid	0.186794	0.003437	78.6	619
vayupurana_07_shraddha-kalpa_iast	ppl	-0.046804	0.416722	37.3	384
vayupurana_07_shraddha-kalpa_iast	vayubd	0.280102	0.165191	89.7	5529
vayupurana_07_shraddha-kalpa_iast	other	0.026470	0.267420	47.6	142
vayupurana_08_manu-candra-vishnu-vamsha_iast	resid	-0.068943	0.351238	35.7	818
vayupurana_08_manu-candra-vishnu-vamsha_iast	ppl	-0.151332	0.375034	27.8	10095
vayupurana_08_manu-candra-vishnu-vamsha_iast	vayubd	0.069234	0.472399	57.1	2888
vayupurana_08_manu-candra-vishnu-vamsha_iast	other	-0.124144	0.623350	29.4	376
vayupurana_09_upasamhara_iast	resid	0.174121	0.031525	76.2	970
vayupurana_09_upasamhara_iast	ppl	0.324244	1.019732	92.9	995
vayupurana_09_upasamhara_iast	vayubd	0.386468	0.384547	96.8	3534
vayupurana_09_upasamhara_iast	other	-0.102867	-0.002685	32.5	154
vayupurana_10_gaya-mahatmya_iast	resid	0.267637	-0.287883	88.1	3156
vayupurana_10_gaya-mahatmya_iast	ppl	0.259659	0.240450	87.3	8
vayupurana_10_gaya-mahatmya_iast	vayubd	0.437742	0.215186	99.2	87
vayupurana_10_gaya-mahatmya_iast	other	0.173189	-0.318092	76.2	1030
vayupurana_revakhanda	resid	0.041958	-0.278742	49.2	31577
vayupurana_revakhanda	ppl	0.226328	0.084123	82.5	406
vayupurana_revakhanda	vayubd	0.162301	-0.124835	73.0	759
vayupurana_revakhanda	other	0.139297	-0.281475	68.3	18966
brahmandapurana_khanda-1_u	resid	0.239762	0.410787	84.1	2694
brahmandapurana_khanda-1_u	ppl	0.269068	0.663600	88.1	6989
brahmandapurana_khanda-1_u	vayubd	0.215059	0.481216	82.5	13917
brahmandapurana_khanda-1_u	other	0.227404	0.340054	82.5	1937
brahmandapurana_khanda-2_u	resid	-0.126867	-0.099815	29.4	14235
brahmandapurana_khanda-2_u	ppl	-0.107067	0.447759	31.0	11076
brahmandapurana_khanda-2_u	vayubd	0.194879	0.328237	78.6	11084
brahmandapurana_khanda-2_u	other	-0.129518	0.035977	28.6	1813
brahmandapurana_khanda-3_u	resid	0.111462	-0.049061	64.3	19612
brahmandapurana_khanda-3_u	ppl	0.261102	0.939571	87.3	951
brahmandapurana_khanda-3_u	vayubd	0.388011	0.356738	96.8	3505
brahmandapurana_khanda-3_u	other	0.106840	0.128351	64.3	1422
visnupurana_amsa-1_u	resid	0.029773	0.025372	47.6	4163
visnupurana_amsa-1_u	ppl	0.220763	0.565816	82.5	2646
visnupurana_amsa-1_u	vayubd	-0.273884	0.025482	17.5	201
visnupurana_amsa-1_u	other	0.030349	0.055137	47.6	1503
visnupurana_amsa-2_u	resid	0.109957	-0.040233	64.3	1068
visnupurana_amsa-2_u	ppl	0.401568	0.754582	97.6	44
visnupurana_amsa-2_u	vayubd	0.245886	0.531762	84.1	781
visnupurana_amsa-2_u	other	0.183463	0.155886	78.6	2729
visnupurana_amsa-3_u	resid	0.135116	-0.038050	67.5	2894
visnupurana_amsa-3_u	ppl	0.178602	0.840742	77.8	584
visnupurana_amsa-3_u	vayubd	0.193226	0.425528	78.6	282
visnupurana_amsa-3_u	other	0.212162	-0.123317	81.7	1026
visnupurana_amsa-4_u	resid	-0.135828	0.194986	27.8	4603
visnupurana_amsa-4_u	ppl	0.114683	0.505844	64.3	160
visnupurana_amsa-4_u	vayubd	0.063761	0.426256	56.3	83
visnupurana_amsa-4_u	other	-0.016276	0.304773	40.5	113
visnupurana_amsa-5_u	resid	-0.115395	-0.102099	29.4	1736
visnupurana_amsa-5_u	ppl	0.231128	0.975798	82.5	30
visnupurana_amsa-5_u	vayubd	-0.056636	-0.262486	36.5	69
visnupurana_amsa-5_u	other	-0.217213	-0.200908	21.4	7137
visnupurana_amsa-6_u	resid	-0.016607	-0.031631	40.5	577
visnupurana_amsa-6_u	ppl	0.539883	0.252907	100.8	35
visnupurana_amsa-6_u	vayubd	0.190488	0.215947	78.6	170
visnupurana_amsa-6_u	other	0.253110	-0.071709	85.7	1966
