unit	kind	x	y	pct	words
sivapurana_vayaviyasamhita_au	base	0.288131	-0.058545	88.1	
sivapurana_vidyesvarasamhita_au	base	0.545868	-0.112334	100.0	
skandamahapurana_himavatkhanda	base	0.048369	-0.083872	52.4	
skandamahapurana_kasikhanda	base	0.178713	-0.224781	75.4	
skandamahapurana_revakhanda	base	0.075862	-0.122396	54.8	
skandamahapurana_sutasamhita_khanda-4	base	0.432813	-0.204440	99.2	
skandapurana	base	-0.178723	-0.006607	25.4	
skandapurana_adhyaya-1-31_pu	base	-0.092110	0.006045	30.2	
skandapurana_pasupata_adhyaya174-183_u	base	0.346700	0.081052	93.7	
vamanapurana_saromahatmya_u	base	0.040595	-0.066983	50.0	
vamanapurana_u	base	-0.089646	-0.127432	31.0	
vayu_ba	base	0.056679	0.429170	53.2	
vayupurana	base	0.096638	0.350118	58.7	
vayupurana_01_frame-and-cosmogony_iast	base	0.189403	0.496796	78.6	
vayupurana_02_pashupata-yoga_iast	base	0.342837	0.209152	92.9	
vayupurana_03_kalpas-and-shiva-lineages_iast	base	0.043066	0.381111	51.6	
vayupurana_04_bhuvana-vinyasa_iast	base	0.169506	0.377384	70.6	
vayupurana_05_jyotis-and-purvardha-close_iast	base	0.170014	0.427721	71.4	
vayupurana_06_prthu-and-prajapati-lineages_iast	base	0.018181	0.479226	46.8	
vayupurana_07_shraddha-kalpa_iast	base	0.213635	0.214700	81.7	
vayupurana_08_manu-candra-vishnu-vamsha_iast	base	-0.185528	0.356605	23.8	
vayupurana_09_upasamhara_iast	base	0.191249	0.451580	79.4	
vayupurana_10_gaya-mahatmya_iast	base	0.214540	-0.075954	82.5	
vayupurana_revakhanda	base	0.132729	-0.179708	62.7	
visnudharma_pu	base	0.173139	-0.239243	72.2	
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	base	-0.037698	-0.080478	38.1	
visnupurana_amsa-1_u	base	0.032333	0.059085	48.4	
visnupurana_amsa-2_u	base	0.167920	0.091137	69.0	
visnupurana_amsa-3_u	base	0.233464	0.015309	84.9	
visnupurana_amsa-4_u	base	-0.010756	0.086722	42.1	
visnupurana_amsa-5_u	base	-0.158717	-0.150330	27.0	
