unit	kind	x	y	pct	words
sivapurana_vayaviyasamhita_au	base	0.276073	-0.055647	88.1	
sivapurana_vidyesvarasamhita_au	base	0.535551	-0.112695	100.0	
skandamahapurana_himavatkhanda	base	0.040690	-0.103022	50.8	
skandamahapurana_kasikhanda	base	0.176838	-0.227610	73.0	
skandamahapurana_revakhanda	base	0.064695	-0.143279	55.6	
skandamahapurana_sutasamhita_khanda-4	base	0.442681	-0.198875	98.4	
skandapurana	base	-0.181311	-0.021692	25.4	
skandapurana_adhyaya-1-31_pu	base	-0.092276	-0.006759	31.0	
skandapurana_pasupata_adhyaya174-183_u	base	0.369297	0.088557	95.2	
vamanapurana_saromahatmya_u	base	0.036793	-0.077320	50.0	
vamanapurana_u	base	-0.096359	-0.140177	30.2	
vayu_ba	base	0.057751	0.419950	53.2	
vayupurana	base	0.090758	0.339796	57.9	
vayupurana_01_frame-and-cosmogony_iast	base	0.189829	0.499596	77.0	
vayupurana_02_pashupata-yoga_iast	base	0.340857	0.236600	92.9	
vayupurana_03_kalpas-and-shiva-lineages_iast	base	0.041851	0.375043	51.6	
vayupurana_04_bhuvana-vinyasa_iast	base	0.164031	0.396555	68.3	
vayupurana_05_jyotis-and-purvardha-close_iast	base	0.170124	0.430384	70.6	
vayupurana_06_prthu-and-prajapati-lineages_iast	base	0.017461	0.479128	46.8	
vayupurana_07_shraddha-kalpa_iast	base	0.207400	0.215473	82.5	
vayupurana_08_manu-candra-vishnu-vamsha_iast	base	-0.198766	0.345651	22.2	
vayupurana_09_upasamhara_iast	base	0.195567	0.451939	79.4	
vayupurana_10_gaya-mahatmya_iast	base	0.207230	-0.092908	81.7	
vayupurana_revakhanda	base	0.110895	-0.199873	61.9	
visnudharma_pu	base	0.180349	-0.244206	75.4	
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	base	-0.056236	-0.082445	36.5	
visnupurana_amsa-1_u	base	0.025359	0.055581	47.6	
visnupurana_amsa-2_u	base	0.158809	0.091426	66.7	
visnupurana_amsa-3_u	base	0.227150	0.013063	84.9	
visnupurana_amsa-4_u	base	-0.031779	0.097779	38.9	
visnupurana_amsa-5_u	base	-0.173010	-0.155279	27.0	
visnupurana_amsa-6_u	base	0.177937	-0.127422	73.8	
visnupurana_u	base	0.027752	-0.035720	49.2	
vayupurana_01_frame-and-cosmogony_iast	resid	0.211750	0.355870	84.1	983
vayupurana_01_frame-and-cosmogony_iast	shared	0.185072	0.531846	76.2	8630
vayupurana_02_pashupata-yoga_iast	resid	0.300641	0.310614	88.9	1220
vayupurana_02_pashupata-yoga_iast	shared	0.347794	0.213300	93.7	1980
vayupurana_03_kalpas-and-shiva-lineages_iast	resid	0.039955	0.335629	50.8	3357
vayupurana_03_kalpas-and-shiva-lineages_iast	shared	0.041712	0.394122	51.6	9685
vayupurana_04_bhuvana-vinyasa_iast	resid	0.142928	0.322420	65.9	5062
vayupurana_04_bhuvana-vinyasa_iast	shared	0.175417	0.452469	73.0	5716
vayupurana_05_jyotis-and-purvardha-close_iast	resid	0.165322	0.480094	69.8	648
