unit	kind	x	y	pct	words
sivapurana_vayaviyasamhita_au	base	0.359878	-0.118557	91.3	
sivapurana_vidyesvarasamhita_au	base	0.496890	-0.265972	98.4	
skandamahapurana_himavatkhanda	base	0.034128	-0.087015	50.0	
skandamahapurana_kasikhanda	base	0.209859	-0.276414	72.2	
skandamahapurana_revakhanda	base	0.034925	-0.114270	50.8	
skandamahapurana_sutasamhita_khanda-4	base	0.471525	-0.116018	97.6	
skandapurana	base	-0.055962	-0.009058	38.9	
skandapurana_adhyaya-1-31_pu	base	0.059393	0.036256	53.2	
skandapurana_pasupata_adhyaya174-183_u	base	0.360117	0.161325	92.1	
vamanapurana_saromahatmya_u	base	0.132807	-0.092529	61.9	
vamanapurana_u	base	-0.013202	-0.202477	46.0	
vayu_ba	base	0.223526	0.465770	73.0	
vayupurana	base	0.225650	0.364745	74.6	
vayupurana_01_frame-and-cosmogony_iast	base	0.380922	0.548626	94.4	
vayupurana_02_pashupata-yoga_iast	base	0.459833	0.153423	96.8	
vayupurana_03_kalpas-and-shiva-lineages_iast	base	0.178231	0.396986	67.5	
vayupurana_04_bhuvana-vinyasa_iast	base	0.258199	0.327937	81.0	
vayupurana_05_jyotis-and-purvardha-close_iast	base	0.318540	0.424873	87.3	
vayupurana_06_prthu-and-prajapati-lineages_iast	base	0.200092	0.612373	69.8	
vayupurana_07_shraddha-kalpa_iast	base	0.344732	0.208222	90.5	
vayupurana_08_manu-candra-vishnu-vamsha_iast	base	-0.014253	0.350115	45.2	
vayupurana_09_upasamhara_iast	base	0.366791	0.441932	92.9	
vayupurana_10_gaya-mahatmya_iast	base	0.231807	-0.215904	76.2	
vayupurana_revakhanda	base	0.161295	-0.233418	65.9	
visnudharma_pu	base	-0.029184	-0.120334	42.9	
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	base	-0.069037	-0.199405	37.3	
visnupurana_amsa-1_u	base	0.140344	0.169612	63.5	
visnupurana_amsa-2_u	base	0.242912	0.154194	77.8	
visnupurana_amsa-3_u	base	0.224015	0.032004	73.8	
visnupurana_amsa-4_u	base	0.070839	0.027538	54.8	
visnupurana_amsa-5_u	base	-0.098377	-0.232370	33.3	
visnupurana_amsa-6_u	base	0.243127	-0.065747	78.6	
visnupurana_u	base	0.097177	0.005210	57.9	
vayupurana_01_frame-and-cosmogony_iast	resid	0.300110	0.313174	86.5	633
vayupurana_01_frame-and-cosmogony_iast	shared	0.389397	0.569761	96.0	5715
vayupurana_02_pashupata-yoga_iast	resid	0.370659	0.165358	93.7	851
vayupurana_02_pashupata-yoga_iast	shared	0.499140	0.136126	99.2	1411
vayupurana_03_kalpas-and-shiva-lineages_iast	resid	0.132153	0.304475	61.9	2355
vayupurana_03_kalpas-and-shiva-lineages_iast	shared	0.191260	0.427908	68.3	6601
vayupurana_04_bhuvana-vinyasa_iast	resid	0.244761	0.151142	79.4	2952
vayupurana_04_bhuvana-vinyasa_iast	shared	0.272569	0.451058	83.3	3832
vayupurana_05_jyotis-and-purvardha-close_iast	resid	0.244714	0.311356	79.4	460
vayupurana_05_jyotis-and-purvardha-close_iast	shared	0.329004	0.428188	88.9	8581
vayupurana_06_prthu-and-prajapati-lineages_iast	resid	0.148847	0.579629	65.1	970
vayupurana_06_prthu-and-prajapati-lineages_iast	shared	0.207049	0.618735	70.6	8134
vayupurana_07_shraddha-kalpa_iast	resid	0.266097	0.058555	81.7	626
vayupurana_07_shraddha-kalpa_iast	shared	0.347245	0.218137	91.3	6131
vayupurana_08_manu-candra-vishnu-vamsha_iast	resid	-0.067359	0.334984	38.1	818
vayupurana_08_manu-candra-vishnu-vamsha_iast	shared	-0.003434	0.354844	46.8	13460
vayupurana_09_upasamhara_iast	resid	0.205695	-0.015251	70.6	970
