map	code_a	code_b	name_a	name_b	d2	d3	dz	delta	delta_vs_median	rank_ab	rank_ba	bhp_pair	words_a	words_b	sub3k
W1_with	Bḍ3	Vi2	brahmandapurana_khanda-3_u	visnupurana_amsa-2_u	0.0406	0.1384	0.1323	0.7898	0.8298	51	10	0	42995	7119	0
W1_with	Bḍ3	K1	brahmandapurana_khanda-3_u	kurmapurana_khanda-1_u	0.0450	0.1366	0.1290	0.7216	0.7581	33	17	0	42995	31821	0
W1_with	MBh2	MBh11	mahabharata_02-sabhaparvan	mahabharata_11-striparvan	0.0344	0.1327	0.1282	0.6745	0.7086	20	4	0	25393	7583	0
W1_with	Dv	Vā	devipurana	sivapurana_vayaviyasamhita_au	0.0333	0.1292	0.1248	0.6850	0.7196	15	16	0	44581	40180	0
W1_with	ŚDh	ŚDhU	sivadharmasastra	sivadharmottara	0.0290	0.1253	0.1219	0.8651	0.9089	1	15	0	13292	16775	0
W1_with	MBh1	R6	mahabharata_01-adiparvan	ramayana_06-yuddhakanda	0.0222	0.1209	0.1188	0.6299	0.6617	17	14	0	75998	44321	0
W1_with	MBh3	R4	mahabharata_03-aranyakaparvan	ramayana_04-kiskindhakanda	0.0236	0.1211	0.1188	0.5757	0.6048	19	4	0	107275	19591	0
W1_with	A	L2	agnipurana_u	lingapurana_khanda-2_u	0.0172	0.1189	0.1176	0.5885	0.6182	5	2	0	109702	23936	0
W1_with	G1	L2	garudapurana_khanda-1_u	lingapurana_khanda-2_u	0.0190	0.1168	0.1152	0.6448	0.6774	13	5	0	81106	23936	0
W1_with	MBh10	MBh11	mahabharata_10-sauptikaparvan	mahabharata_11-striparvan	0.0314	0.1096	0.1050	0.7251	0.7617	15	7	0	7715	7583	0
W1_with	Pl3	V5	kirfel_ppl_textgruppe_III_col1	vayupurana_05_jyotis-and-purvardha-close_iast	0.0265	0.1040	0.1006	1.1189	1.1755	32	112	0	2819	13910	1
W1_with	MBh4	MBh11	mahabharata_04-virataparvan	mahabharata_11-striparvan	0.0214	0.1002	0.0979	0.6712	0.7052	16	3	0	19647	7583	0
W1_with	ŚDhU	Sū	sivadharmottara	skandamahapurana_sutasamhita_khanda-4	0.0190	0.0957	0.0938	0.9589	1.0074	36	17	0	16775	23132	0
W1_with	MA14	Vā	mahabharata_14-appendix-04_vaisnavadharma	sivapurana_vayaviyasamhita_au	0.0054	0.0926	0.0924	0.9327	0.9798	33	88	0	16493	40180	0
W1_with	Bh9	MBh12	bhagavatapurana_skandha-09_u	mahabharata_12-santiparvan	0.0170	0.0936	0.0920	0.8780	0.9224	35	82	1	9595	128761	0
W1_with	MBh7	R6	mahabharata_07-dronaparvan	ramayana_06-yuddhakanda	0.0109	0.0828	0.0821	0.4948	0.5198	4	3	0	80940	44321	0
W1_with	G3	L2	garudapurana_khanda-3_u	lingapurana_khanda-2_u	0.0056	0.0795	0.0793	0.9656	1.0145	26	68	0	26514	23936	0
W1_with	MBh8	R6	mahabharata_08-karnaparvan	ramayana_06-yuddhakanda	0.0204	0.0764	0.0736	0.5130	0.5390	4	5	0	41485	44321	0
W1_with	MBh3	R3	mahabharata_03-aranyakaparvan	ramayana_03-aranyakanda_a	0.0211	0.0738	0.0707	0.5686	0.5974	16	5	0	107275	22350	0
W1_with	MBh13	Vt	mahabharata_13-anusasanaparvan	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.0216	0.0669	0.0633	1.1055	1.1614	114	48	0	67537	2777	1
W1_with	Nī	Dh	nilamatapurana_au	sivapurana_dharmasamhita	0.0187	0.0576	0.0545	0.8046	0.8453	11	67	0	14221	47196	0
W1_with	Kś	Vd	skandamahapurana_kasikhanda	visnudharma_pu	0.0170	0.0528	0.0500	0.6133	0.6443	11	3	0	132756	42898	0
W1_with	R3	R4	ramayana_03-aranyakanda_a	ramayana_04-kiskindhakanda	0.0105	0.0492	0.0481	0.4936	0.5186	2	2	0	22350	19591	0
