text	x	y	colophon_frac
skandapurana	-0.113827	-0.025544	0.0104
skandapurana_adhyaya-1-31_pu	-0.063905	-0.003767	0.0095
skandapurana_pasupata_adhyaya174-183_u	0.459984	-0.018510	0.0000
vamanapurana_saromahatmya_u	0.063593	-0.157337	0.0152
vamanapurana_u	-0.098075	-0.212642	0.0077
vayu_ba	0.139482	0.496082	0.0011
vayupurana	0.142327	0.396122	0.0091
vayupurana_01_frame-and-cosmogony_iast	0.323362	0.552212	0.0090
vayupurana_02_pashupata-yoga_iast	0.482417	0.027600	0.0256
vayupurana_03_kalpas-and-shiva-lineages_iast	0.140234	0.406391	0.0094
vayupurana_04_bhuvana-vinyasa_iast	0.106845	0.483689	0.0131
vayupurana_05_jyotis-and-purvardha-close_iast	0.232297	0.472735	0.0076
vayupurana_06_prthu-and-prajapati-lineages_iast	0.124843	0.688959	0.0059
vayupurana_07_shraddha-kalpa_iast	0.244812	0.172171	0.0123
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.127199	0.391775	0.0071
vayupurana_09_upasamhara_iast	0.305901	0.427648	0.0049
vayupurana_10_gaya-mahatmya_iast	0.249909	-0.281420	0.0111
vayupurana_revakhanda	0.090953	-0.271536	0.0506
visnudharma_pu	0.070165	-0.171844	0.0000
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.000536	-0.242586	0.0407
visnupurana_amsa-1_u	0.050969	0.194736	0.0140
visnupurana_amsa-2_u	0.169850	0.180394	0.0199
visnupurana_amsa-3_u	0.150795	0.102057	0.0177
visnupurana_amsa-4_u	-0.141156	0.196599	0.0248
visnupurana_amsa-5_u	-0.211155	-0.202816	0.0200
visnupurana_amsa-6_u	0.164784	-0.047350	0.0193
visnupurana_u	-0.013832	0.065134	0.0188
