"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.409976515625861 0.438728805893971 0.408228728863138 0.394349777645449 0.439386510109701 0.38833209712514 0.390964637584385 0.388370942035382 0.392427397519245 0.460587477579693 0.387907906943845 0.413647104880536 0.403704161715497 0.293144157563455 0.459379851188951 0.361478278030121 0.33698936097737 0.318136436659747 0.35321808194009 0.387211747911879 0.338753126400021 0.287534260625705 0.237035271895022 0.325866758954399 0.392781388532543 0.385032122544452 0.425172500561582 0.446023029770381 0.43278912743198 0.380339858480332 0.299212982974655 0.543544981197386 0.428426329776052 0.48242382996091 0.410441607983721 0.45748168553597 0.446163303343449 0.505058848916891 0.434822339291775 0.379840509251568 0.362228482244611 0.323353559397048 0.298596561482028 0.401484224313629 0.442430850339269 0.425760333836957 0.392632622443607 0.43147567915641 0.412248170932788 0.438326065091344 0.458218696527629 0.427528247135776 0.426885374080236 0.426591487338116 0.423513141623285 0.442240427037456 0.479208334718653 0.389117422116486 0.389261367315506 0.411908900120036 0.397350173627385 0.413170140291001 0.465143089614341 0.472556202592021 0.571482892988766 0.511584172150484 0.352590213146674 0.444954396252413 0.418953782212608 0.35613968530605 0.282005028463256 0.235909471368549 0.354313541699781 0.388590362380566 0.362529995686283 0.365779681166558 0.403762282667452 0.421056607903402 0.413368698497807 0.418166803463057 0.418508825603009 0.42184908682152 0.421959178097456 0.410451076524564 0.343880202558062 0.388908002266571 0.359175082431708 0.433664676156325 0.465776176932291 0.388285360561701 0.455785508132984 0.456297429479113 0.343167855853771 0.330484254434431 0.352806749871142 0.369460456626259 0.307411006891356 0.35527493785288 0.408717508241918 0.394986967183575 0.47896867106998 0.36013458297271 0.428732464317994 0.331219174117438 0.533518359960027 0.498411484777482 0.459068985485468 0.484628596584208 0.562524041371211 0.512763513115764 0.496082003940022 0.558121020998754 0.456569486534832 0.417438171477096 0.368769214936932 0.332483942234635 0.375565859764044 0.451911045503751 0.423786357792966 0.484809073811701 0.393904968008851 0.430367060479927 0.496446881161431 0.56382324994151 0.368281486738092
"bhagavatapurana_skandha-01_u" 0.409976515625861 0 0.31257147618604 0.281368256288976 0.269951954209712 0.358370000510817 0.277225569247189 0.284466363124571 0.292650290392041 0.303184638808962 0.400059896016258 0.256854331724783 0.296581744328182 0.32286698486959 0.370238299423721 0.464093903036356 0.34102045962283 0.404608043487818 0.359555756524438 0.350615731936219 0.422619866246331 0.367778209706021 0.399390188838383 0.396616674445151 0.400500766624562 0.440318504071313 0.359724280464607 0.38963602855722 0.432667321920262 0.412177518947834 0.328088563802308 0.379090163162522 0.573237450339346 0.401668489093595 0.481580547428523 0.405350995895416 0.456862150088951 0.444148780442951 0.481372981637719 0.407187153646382 0.371701219022826 0.383075121197287 0.381597737497639 0.417066771846413 0.333354537542083 0.413653581244862 0.357529514553187 0.325936880741697 0.37476107977774 0.347034436172808 0.395415647620111 0.416591599402631 0.388606002423677 0.394363325817151 0.385007585297058 0.376554041415432 0.389068985716733 0.448377942544767 0.329454494422984 0.341269150842517 0.413353449668394 0.408769570218739 0.351075669118464 0.394985957646577 0.428073784642278 0.528740016810522 0.46807096448903 0.343631091210473 0.453046346888584 0.36638638560223 0.336354461098128 0.345401440217025 0.370466676318104 0.380089095103891 0.431122434656402 0.35251344631469 0.38185454456156 0.42154963405442 0.385680887204365 0.369221513943963 0.394422315373003 0.391557909912217 0.399320323704994 0.405658755809055 0.371914145932397 0.371083701733397 0.456850121185978 0.427692100304246 0.446659084712757 0.472737310458745 0.403227467685612 0.47077293598773 0.437803969214019 0.372108283144217 0.399153304122104 0.446095079636113 0.376338571273055 0.355785398416186 0.389099107449966 0.440299313750034 0.385268661513959 0.475941770672282 0.333427315464666 0.431030684226751 0.352533164963985 0.504977626237018 0.521708605194448 0.446897520138918 0.507306250138835 0.554621073795496 0.510948101808263 0.511638255116374 0.548668451627006 0.450904253797855 0.473780081783479 0.407321689910304 0.368622194721909 0.349912516684481 0.473924052948491 0.40421170923459 0.490312535955708 0.422852184857882 0.421093017245094 0.480806818013561 0.538161362499085 0.361140255396026
"bhagavatapurana_skandha-02_u" 0.438728805893971 0.31257147618604 0 0.30201910044769 0.313151875682216 0.370555505791375 0.323342055628621 0.323100588415548 0.333829639961666 0.355766642392915 0.439481456365549 0.340119776581087 0.328839440286049 0.35446545193653 0.419214338981134 0.492114429787866 0.392032026955998 0.43862555434856 0.400312596670597 0.404924723466784 0.436737953353088 0.416700785264572 0.433269320708919 0.427183035198902 0.436556807386854 0.461873621784614 0.420038667411935 0.42700938115905 0.452059366345842 0.453163763669299 0.40095236292343 0.410472782950074 0.581413572857824 0.442942946790079 0.508729436025956 0.441626551744063 0.463569364398437 0.464239336628729 0.492903429862178 0.450213600726678 0.392367708166036 0.407650251937931 0.416670617855486 0.442362915263599 0.40706204281349 0.469582766900622 0.429980991689856 0.400941071525466 0.442650289671848 0.420416319325591 0.454570995917658 0.467596450919807 0.446834049393333 0.453529931426615 0.447907734623089 0.437123597767013 0.446608709972599 0.468087769799554 0.38828161904234 0.405093137338592 0.449407700114757 0.447266508695129 0.412637781621842 0.458653127571772 0.482867105851183 0.563642506956004 0.50928569083284 0.392789143339862 0.483502775925245 0.415439292416579 0.387849928748481 0.398345221021498 0.404407028218282 0.421465145526473 0.464670543137929 0.395817065727138 0.423431564860156 0.427488629259515 0.43394058285461 0.43149529787132 0.439189583237993 0.432440118987119 0.445943489139815 0.448604228716921 0.424955842013418 0.406996991833166 0.472430515798427 0.455373860926596 0.478397849404569 0.50115270493116 0.444285484478196 0.487577386701975 0.465192918328946 0.410042168543889 0.417512497175599 0.465499071150743 0.416989196469446 0.387409974929437 0.42767656065053 0.4483429347119 0.424216364677534 0.480812243140305 0.387776435948142 0.459905672426117 0.402001738976051 0.523438146731503 0.524124361118547 0.470327312188853 0.535098228551937 0.579714389769125 0.536219772820473 0.534345705743693 0.580708600827222 0.479324069710355 0.497380773763134 0.440462436623197 0.414564775496447 0.381760921601575 0.490635839549736 0.424906568116284 0.502371995721868 0.450964151848345 0.453068919369304 0.503605808401744 0.558202535990082 0.39880112632873
"bhagavatapurana_skandha-03_u" 0.408228728863138 0.281368256288976 0.30201910044769 0 0.211047400561143 0.31930562087528 0.290602550075061 0.299664550739737 0.300178683554595 0.324762736573175 0.365584394283105 0.250243231598627 0.250824907182461 0.297250543357912 0.392280389528111 0.478670165747781 0.367867307003925 0.410957653446037 0.372584679857955 0.335347669327012 0.422396923435767 0.389538987062557 0.405140118126384 0.407966874465509 0.413493470060947 0.448019820666316 0.348998945723698 0.38155119091221 0.402433856032722 0.399480507703706 0.325275993862937 0.381455076271536 0.569009887780323 0.381617161170978 0.455690765284928 0.380304165155837 0.4165271429374 0.405001657879694 0.451248140314234 0.389683696421698 0.378142763669538 0.388721482673785 0.386678465338141 0.416802859342833 0.329996140670859 0.416679245716722 0.363843875296806 0.318447727477253 0.375331964451589 0.34913574870954 0.393300811394084 0.413207453465306 0.382359358324122 0.389352829715046 0.379587767969241 0.373245071025641 0.392709973303807 0.412729756964341 0.307334829271647 0.325311651786064 0.389633021718518 0.387968985326331 0.340932485294619 0.40264357790801 0.431910225954439 0.52839028890911 0.475679488190413 0.358798155896145 0.462871264036003 0.39065412641774 0.353296634508495 0.368186808108535 0.382655272696155 0.387048495933976 0.445518297015927 0.332222598848428 0.391779433573878 0.420817109847497 0.370359425422642 0.354137803256588 0.373070529047621 0.374484774955992 0.375924310639462 0.382116184094493 0.35445957030921 0.389511379589903 0.453856844300407 0.422095117499555 0.457494033516803 0.486359192203719 0.415282376174947 0.476168599942247 0.448846669296537 0.379985041089136 0.392939036465591 0.44953544129059 0.390762285019202 0.356186324428762 0.391316766037586 0.445005230131752 0.395443520839547 0.470150230389063 0.344687777723291 0.4426174493458 0.366569077520603 0.524943909910884 0.521921778194328 0.45850951765247 0.53051567920182 0.574457517521864 0.525628315304147 0.531686415877375 0.57256195791035 0.470445726741678 0.486399875218041 0.420931616719626 0.392287040744696 0.317852933439119 0.460919098526676 0.40342431618624 0.488954874438509 0.426905834598219 0.433699271272583 0.486664645285475 0.552040626206411 0.36888138900725
"bhagavatapurana_skandha-04_u" 0.394349777645449 0.269951954209712 0.313151875682216 0.211047400561143 0 0.318601593660461 0.27426436678748 0.285610560130462 0.282782393228724 0.304088909624842 0.36978276299157 0.221131891484676 0.267277988045479 0.292383795985085 0.379132910936718 0.474212704811713 0.348711279683145 0.398840787584927 0.354399266359659 0.318988433194963 0.41364566279304 0.372373264739913 0.389607397276727 0.395781072966873 0.403629313462266 0.444282992946837 0.332973130168314 0.366277565044195 0.396123951731116 0.389169395695331 0.31044213665368 0.369718195125577 0.560201262419411 0.36406817023777 0.452686354742742 0.365967098679781 0.418510280189837 0.410039121326046 0.455365287300871 0.380104883252806 0.360956306564376 0.385015694944439 0.373573073532766 0.410422933625095 0.309970428508506 0.403479308826819 0.34762117925207 0.30124823207829 0.363676711685968 0.334039637984895 0.38385967824732 0.390422087336976 0.373921250595954 0.377417132760117 0.367638070231871 0.360709484340928 0.375377959045408 0.418073277712866 0.299396696754853 0.313835440823433 0.386730069943226 0.381343349671401 0.327400270422203 0.385984824738084 0.422780731625712 0.520166825106401 0.462327030625496 0.346979086132209 0.458742211661227 0.372069473285455 0.339162392557138 0.349852590782823 0.368911803711742 0.372985040023448 0.429806397241215 0.316812697387642 0.380411737409298 0.422423576459409 0.352227621074416 0.334440682667804 0.36046000180977 0.358743587807932 0.362242921798368 0.370237652685565 0.339564616414406 0.374408943392251 0.45117794994658 0.41101399290485 0.45137468923812 0.480994138536814 0.399098735197758 0.475695185832856 0.440511421797827 0.369922723949661 0.389281255666488 0.442961550513188 0.377469395918708 0.347771640358998 0.369721416950572 0.43802561434622 0.388213680180626 0.480218895562071 0.331190112793824 0.431184684951808 0.346319115151409 0.522057002125646 0.522253604308282 0.456353637679182 0.512163114438204 0.569014058718476 0.520083460976249 0.528937758331685 0.564989214657974 0.464609146347047 0.474373720851449 0.404234785572227 0.37744601476321 0.311405424773516 0.449392382469844 0.388794377987781 0.493646656932755 0.420210122722204 0.422941889396112 0.48721944542333 0.547354871658197 0.357499975138184
"bhagavatapurana_skandha-05_u" 0.439386510109701 0.358370000510817 0.370555505791375 0.31930562087528 0.318601593660461 0 0.360809799352339 0.376167049942197 0.359943274817927 0.391513956178325 0.401290095735285 0.336434819795554 0.34993468705438 0.351018220787444 0.428491778927763 0.504270696796677 0.40810371221776 0.426976429888445 0.404949572809142 0.406111948008551 0.463332584510352 0.438951360864388 0.43915935756349 0.437939157799811 0.450829761739809 0.476462342793649 0.411111413807401 0.442159850244995 0.447866824492196 0.443260689591626 0.389572386468927 0.43363016851464 0.580021828480784 0.423632969476595 0.49224719960251 0.415241311263174 0.46856592565284 0.45229758140884 0.483729292034716 0.439530892739276 0.426928396814722 0.435243368099834 0.435153280000406 0.454460165475574 0.396779635082966 0.458066096564606 0.419477619099967 0.38654770937992 0.432075360951641 0.409353930295874 0.446148352307037 0.465690862675598 0.438736582744435 0.442333049564806 0.439240057640617 0.431304793266799 0.43669531794208 0.450463097210316 0.381770056245521 0.395390591139112 0.436819323151125 0.441603222436603 0.407889656965396 0.452442369454809 0.480305559115991 0.562052358521169 0.515663228416199 0.41485671728496 0.496678155027714 0.450598499587002 0.412546801511218 0.397307535114724 0.424508642379066 0.441422429303258 0.477574206509982 0.393349145382926 0.418180492219374 0.42835624325394 0.428458931838154 0.416436937936515 0.424990267054067 0.422248869755277 0.426270056262421 0.433303955297639 0.418499430979624 0.428882001116206 0.48534961728236 0.453548427045074 0.470288748840008 0.527566455014618 0.458735025355864 0.472493976522348 0.495483530892078 0.43195321406497 0.431499053119394 0.480710807871575 0.443864359317084 0.391353269249053 0.426663308523959 0.472864033401535 0.441371613775761 0.519022539500847 0.405711909457142 0.481874604805183 0.410385124173822 0.543918151300944 0.535943264246641 0.500654122198436 0.512684675623321 0.595462709386609 0.546427267839261 0.551926826159775 0.587971888382998 0.491644997651905 0.529472775108623 0.452145351685105 0.423194352898038 0.384733970096254 0.481166521100545 0.457366609124225 0.51141309640014 0.465394475388958 0.421198769893404 0.50707675089077 0.567853021271131 0.401777874191341
"bhagavatapurana_skandha-06_u" 0.38833209712514 0.277225569247189 0.323342055628621 0.290602550075061 0.27426436678748 0.360809799352339 0 0.254493156003449 0.24200290827266 0.279311508645868 0.420293314339228 0.278720249061167 0.290904235216129 0.335429680040595 0.355433626284651 0.448568579674858 0.325647082086031 0.373359704105363 0.331116903949592 0.347126137491799 0.39696875505924 0.346016111389486 0.370490449776796 0.373890974968265 0.382450146969556 0.41673344023917 0.364685360736036 0.392022893962998 0.417659146924884 0.401964155948162 0.345945763467204 0.356746294981439 0.570390650284942 0.385789479565325 0.460353321780316 0.386517807686478 0.438170977790188 0.429814173838439 0.471282622688479 0.393371761943347 0.338485126794144 0.360114016589509 0.351021259216664 0.391365483713786 0.348798478994408 0.422220541676956 0.377843196920264 0.338192301722163 0.397064168473544 0.36569900803245 0.407071602860448 0.42403293117125 0.406692424545319 0.406931264305824 0.39676632399378 0.394055901153386 0.407863835968403 0.445250887351668 0.330858736279619 0.340419945039107 0.410782119242098 0.40902740211265 0.361148001210732 0.412713431862763 0.449603746640246 0.536609385814029 0.476751067012924 0.322093870217532 0.421648989554665 0.369197740232076 0.316196870068451 0.325348527365247 0.351015456867809 0.364865346868648 0.417668313268404 0.343821198027728 0.372252686749181 0.407857746821624 0.389575920220059 0.380231779920382 0.399145128521279 0.394515896852331 0.404003788679934 0.402469643206022 0.373556029145854 0.342573025375956 0.440631819109306 0.419412641232362 0.429576791305613 0.468450773696495 0.369951123116316 0.451623917622242 0.420288818980202 0.34636085596078 0.367097846681431 0.428403860579571 0.367357491939097 0.331244847813263 0.379561064759697 0.405784819677151 0.359724918775148 0.465737306092053 0.319112006914609 0.416930429998443 0.319932601214782 0.496038152841702 0.505300707778259 0.427911097863533 0.500753330139836 0.544931395520326 0.497899033792407 0.50467355192034 0.546493260645176 0.446275718541076 0.458334317179045 0.385029984135118 0.348682107166132 0.346870055171036 0.461622591072187 0.368556523066072 0.476071610488974 0.398098734525236 0.41243046797838 0.46369890824177 0.532632478186427 0.330509432086599
"bhagavatapurana_skandha-07_u" 0.390964637584385 0.284466363124571 0.323100588415548 0.299664550739737 0.285610560130462 0.376167049942197 0.254493156003449 0 0.276664270366554 0.300990239616492 0.411834820083464 0.295841303663728 0.290664706444739 0.346953109625001 0.366231941811273 0.456110363644722 0.339397171414062 0.384981719459324 0.34497808382881 0.361321908553839 0.405675675526236 0.356915203906386 0.378609985154358 0.380565803992281 0.378863428274922 0.422610820270721 0.382476706144656 0.406222134558796 0.43937340393983 0.425576152604111 0.363388694524834 0.362312746048315 0.569427695113284 0.417240004099175 0.481246141240378 0.420778173976616 0.455018116746332 0.445100677656887 0.489231907163326 0.418900435685044 0.357935031089682 0.366620390047309 0.363084642224695 0.394658179601714 0.369324656256607 0.438711940087608 0.393424193796613 0.360309977439058 0.412263754942946 0.383738723077623 0.432122035317619 0.434411154148484 0.423075560991189 0.424378949575232 0.419874107755325 0.409049071050722 0.426783920019239 0.458648955426273 0.34191939269276 0.364129074820671 0.411010477375178 0.413464820664595 0.374198453019017 0.428860046144406 0.460243056989039 0.539898270102128 0.489647464772838 0.331299097879892 0.437441833769161 0.379227887134343 0.330324771680849 0.335912950953222 0.353662540539455 0.367434394903373 0.428839249487427 0.360871757654903 0.374479261289929 0.402774620188513 0.410479377741098 0.398187095069159 0.411780367156177 0.410537834479371 0.421091950998065 0.422639309440122 0.392119468707955 0.350172920944388 0.43721946044222 0.418661791873259 0.429846871124943 0.472489124993432 0.385640621349364 0.456668401384687 0.432104088283995 0.356690273495133 0.375117365351918 0.42600762358502 0.376609188758735 0.333167297421284 0.384607071642008 0.411504541888003 0.378210968582259 0.470813742179249 0.339077175458221 0.417051949884116 0.34116630758221 0.508069809828759 0.510831385124371 0.443587371230303 0.514230879983035 0.55121229328608 0.513767334753823 0.498458861030458 0.550346404722925 0.455786699410495 0.454402802497296 0.395300296796371 0.361509666908377 0.35171280526851 0.468714385530132 0.370016511808729 0.482967026571747 0.396695798556377 0.424077192449922 0.47025202521087 0.532765232965453 0.339427347648633
"bhagavatapurana_skandha-08_u" 0.388370942035382 0.292650290392041 0.333829639961666 0.300178683554595 0.282782393228724 0.359943274817927 0.24200290827266 0.276664270366554 0 0.277524316619896 0.41938350519374 0.265804244528888 0.327221963625171 0.335821315854161 0.351311785325996 0.450475206094928 0.324052339205415 0.368569996753123 0.328700067164168 0.350695295203038 0.407335779067132 0.35255328276002 0.374199143966244 0.375024178586693 0.393110170395028 0.421452358250053 0.361802023626866 0.39324056631699 0.410407396040927 0.385751168842033 0.345074162391505 0.352906294594353 0.56838876758351 0.395397501509167 0.465133102468056 0.392838415111992 0.449167573353006 0.440552705705286 0.467722341301709 0.39535164822814 0.33801036325168 0.375386415680123 0.352889982000459 0.390697490070677 0.357648801482098 0.417567208802201 0.381690687508274 0.3466710162531 0.400890825584904 0.379147758571432 0.409298451050111 0.425461531235885 0.403743516471541 0.404378372287599 0.398799110343591 0.401862119013963 0.418958128587002 0.470910263184881 0.354020191287025 0.357295763132382 0.427698903433306 0.419545464784636 0.376341727924002 0.4230768396429 0.453433421218347 0.545061946591609 0.483913490602003 0.337814337910219 0.418528964274459 0.378434459555198 0.328787385052321 0.319480221590296 0.353302613367132 0.371054483356865 0.411589430313172 0.345153935175685 0.364477188631598 0.409154850593202 0.395757285435674 0.389608211484872 0.399527897336981 0.391264496130409 0.396378314564937 0.390726134281873 0.372784900906047 0.341099802037515 0.435581305356808 0.421275499844133 0.425345620946054 0.477217966259326 0.37185059995616 0.446905949408759 0.417635480984015 0.354459944894005 0.373201021615055 0.433045366479964 0.356143252522811 0.341302559540384 0.377347234184305 0.420911670331641 0.364414993531344 0.482750491474469 0.315171858626674 0.417044339810067 0.314482131030176 0.505361166226086 0.515175616824984 0.431318750828575 0.485978537052841 0.551859497258954 0.499249797550196 0.508126335221223 0.545471682997533 0.449048017679844 0.459867837803109 0.38718934357958 0.346303795901926 0.35781958333111 0.459048521258594 0.370821836091029 0.482236744621005 0.410824045164962 0.409107607141495 0.463170114734398 0.536145370045925 0.336050336387354
"bhagavatapurana_skandha-09_u" 0.392427397519245 0.303184638808962 0.355766642392915 0.324762736573175 0.304088909624842 0.391513956178325 0.279311508645868 0.300990239616492 0.277524316619896 0 0.433273142887404 0.284358081264226 0.35672892997784 0.356865461300652 0.358501073102971 0.457532605567886 0.322704586763396 0.387390973172798 0.339740932858814 0.365420674618228 0.421472939055586 0.356094744407674 0.391501723792777 0.387120777506566 0.40017621037777 0.43198205999488 0.37513463818225 0.40256820413142 0.447063146058593 0.420447862690798 0.348445434459046 0.355976114748224 0.578727025876176 0.363111777792099 0.466020774787798 0.372954569709906 0.452463148901695 0.438394796077327 0.471324421281953 0.37231405667827 0.359781138239395 0.386379292881782 0.374350900409493 0.406338718599498 0.347305464849505 0.416740972878415 0.385254439303798 0.347722562499744 0.395995111818501 0.373177723559909 0.416559087518715 0.420658674530339 0.4066663880951 0.409974182697708 0.395761771590148 0.399248168221973 0.415951141092904 0.480381599462027 0.361941100776943 0.36292645573949 0.440085591502534 0.43540758930198 0.378110470253607 0.413927410981038 0.442573517480129 0.540025928920533 0.486237604057072 0.325296117802696 0.443338631553947 0.359430173911339 0.320410110165551 0.341483472797675 0.365918548018956 0.367324235712181 0.422698420609659 0.352130057398855 0.384864163225255 0.42468029664416 0.37363883533622 0.372476437946176 0.400945286955606 0.391683675925446 0.402422867236342 0.407474565230732 0.373364548760698 0.363873810370288 0.453302450006376 0.432957672838928 0.435310269856172 0.478681655004568 0.38847918818266 0.466367672833697 0.425897393197918 0.362381859306378 0.388279082319316 0.449678101729225 0.3819912726945 0.347548231583718 0.389149577656303 0.440215601510463 0.376508379378618 0.492015394828299 0.340428661791195 0.41786029692563 0.328537767697989 0.518581275056343 0.525854577505786 0.441911267132321 0.508008764650857 0.558204679894717 0.504876648562365 0.511871592169499 0.528327712749047 0.4637575622257 0.461060440022653 0.398297009640045 0.364190034343868 0.388812198490856 0.479973690106824 0.393996760621256 0.485380277953552 0.424247149817376 0.380576652660935 0.481802026818857 0.545911478968613 0.339473348269975
