build	lens	text	pct_range
with	W1	vayupurana_06_prthu-and-prajapati-lineages_iast	42.86
with	W1	vayupurana_07_shraddha-kalpa_iast	25.40
with	W1	vayupurana_08_manu-candra-vishnu-vamsha_iast	13.49
with	W1	vayupurana_09_upasamhara_iast	20.63
with	W1	vayupurana_10_gaya-mahatmya_iast	20.63
with	W1	vayupurana_revakhanda	40.48
with	W1	visnudharma_pu	28.57
with	W1	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	25.40
with	W1	visnupurana_amsa-1_u	21.43
with	W1	visnupurana_amsa-2_u	19.05
with	W1	visnupurana_amsa-3_u	9.52
with	W1	visnupurana_amsa-4_u	26.19
with	W1	visnupurana_amsa-5_u	6.35
with	W1	visnupurana_amsa-6_u	31.75
with	W1	visnupurana_u	7.14
with	C3	agnipurana_u	19.05
with	C3	bhagavatapurana_skandha-01_u	23.81
with	C3	bhagavatapurana_skandha-02_u	30.16
with	C3	bhagavatapurana_skandha-03_u	37.30
with	C3	bhagavatapurana_skandha-04_u	30.95
with	C3	bhagavatapurana_skandha-05_u	18.25
with	C3	bhagavatapurana_skandha-06_u	25.40
with	C3	bhagavatapurana_skandha-07_u	26.98
with	C3	bhagavatapurana_skandha-08_u	24.60
with	C3	bhagavatapurana_skandha-09_u	21.43
with	C3	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	27.78
with	C3	bhagavatapurana_skandha-10_u	25.40
with	C3	bhagavatapurana_skandha-11_u	33.33
with	C3	bhagavatapurana_skandha-12_u	25.40
with	C3	bhavisyapurana	14.29
with	C3	brahmandapurana	10.32
with	C3	brahmandapurana_khanda-1_u	16.67
with	C3	brahmandapurana_khanda-2_u	11.11
with	C3	brahmandapurana_khanda-3_u	24.60
with	C3	brahmapurana_pu	11.11
with	C3	devibhagavatapurana	12.70
with	C3	devibhagavatapurana_devigita_adhyaya-31-40	7.94
with	C3	devipurana	13.49
with	C3	garudapurana_khanda-1_u	19.05
with	C3	garudapurana_khanda-2_u	11.90
with	C3	garudapurana_khanda-3_u	11.11
with	C3	harivamsa	6.35
with	C3	harivamsa_appendix-29-30_mathura	7.94
with	C3	harivamsa_appendix-31	5.56
with	C3	harivamsa_appendix-41	18.25
with	C3	harivamsa_appendix-42_pradurbhava	14.29
with	C3	kalikapurana	10.32
with	C3	karatoyamahatmya_pu	6.35
with	C3	kirfel_ppl_textgruppe_IIA_col1	11.90
with	C3	kirfel_ppl_textgruppe_IIB_col1	15.08
with	C3	kirfel_ppl_textgruppe_III_col1	40.48
with	C3	kirfel_ppl_textgruppe_II_col1	20.63
with	C3	kirfel_ppl_textgruppe_I_col1	23.02
with	C3	kirfel_ppl_textgruppe_Ia_col1	27.78
with	C3	kirfel_ppl_ungrouped_col1	11.90
with	C3	kurmapurana_khanda-1_u	10.32
with	C3	kurmapurana_khanda-2_u	14.29
with	C3	lingapurana_khanda-1_u	7.94
with	C3	lingapurana_khanda-2_u	9.52
with	C3	mahabharata_01-adiparvan	4.76
with	C3	mahabharata_02-appendix-21_sisupala	14.29
with	C3	mahabharata_02-sabhaparvan	8.73
with	C3	mahabharata_03-aranyakaparvan	5.56
with	C3	mahabharata_04-virataparvan	3.17
with	C3	mahabharata_05-udyogaparvan	3.17
with	C3	mahabharata_06-bhismaparvan	4.76
with	C3	mahabharata_07-appendix-08_sodasarajika	14.29
with	C3	mahabharata_07-dronaparvan	4.76
with	C3	mahabharata_08-karnaparvan	3.17
with	C3	mahabharata_09-salyaparvan	7.14
with	C3	mahabharata_10-sauptikaparvan	8.73
with	C3	mahabharata_11-striparvan	7.94
with	C3	mahabharata_12-appendix-29_moksadharma	33.33
with	C3	mahabharata_12-santiparvan	7.14
with	C3	mahabharata_13-anusasanaparvan	4.76
with	C3	mahabharata_13-appendix-15_umamahesvara	23.81
with	C3	mahabharata_14-appendix-04_vaisnavadharma	8.73
with	C3	mahabharata_14-asvamedhikaparvan	7.14
with	C3	mahabharata_15-asramavasikaparvan	19.84
with	C3	mahabharata_16-mausalaparvan	19.84
with	C3	mahabharata_17-mahaprasthanikaparvan	76.98
with	C3	mahabharata_18-svargarohanaparvan	35.71
with	C3	markandeyapurana	6.35
with	C3	markandeyapurana_adhyaya-1-80_u	8.73
with	C3	markandeyapurana_adhyaya-81-93_devimahatmya_u	14.29
with	C3	markandeyapurana_adhyaya-94-141_u	7.94
with	C3	matsyapurana_pu	10.32
with	C3	naradapurana_khanda-1_u	21.43
with	C3	naradapurana_khanda-2_u	9.52
with	C3	nilamatapurana_au	4.76
with	C3	nrsimhapurana_pu	5.56
with	C3	padmapurana_a	15.87
with	C3	pranavakalpa	16.67
with	C3	ramayana_01-balakanda	17.46
with	C3	ramayana_02-ayodhyakanda_a	5.56
with	C3	ramayana_03-aranyakanda_a	11.11
with	C3	ramayana_04-kiskindhakanda	8.73
with	C3	ramayana_05-sundarakanda	6.35
with	C3	ramayana_06-yuddhakanda	10.32
with	C3	ramayana_07-uttarakanda	6.35
with	C3	saurapurana	13.49
with	C3	sivadharmasastra	5.56
with	C3	sivadharmottara	11.90
with	C3	sivapurana_dharmasamhita	7.14
with	C3	sivapurana_karvanamahatmya_au	11.11
with	C3	sivapurana_rudrasamhita	29.37
with	C3	sivapurana_sanatkumarasamhita	10.32
with	C3	sivapurana_satarudrasamhita_au	10.32
with	C3	sivapurana_umasamhita	5.56
with	C3	sivapurana_vayaviyasamhita_au	15.87
with	C3	sivapurana_vidyesvarasamhita_au	3.97
with	C3	skandamahapurana_himavatkhanda	11.11
with	C3	skandamahapurana_kasikhanda	25.40
with	C3	skandamahapurana_revakhanda	10.32
with	C3	skandamahapurana_sutasamhita_khanda-4	4.76
with	C3	skandapurana	13.49
with	C3	skandapurana_adhyaya-1-31_pu	7.94
with	C3	skandapurana_pasupata_adhyaya174-183_u	3.17
with	C3	vamanapurana_saromahatmya_u	13.49
with	C3	vamanapurana_u	7.94
with	C3	vayu_ba	15.87
with	C3	vayupurana	10.32
with	C3	vayupurana_01_frame-and-cosmogony_iast	11.11
with	C3	vayupurana_02_pashupata-yoga_iast	3.97
with	C3	vayupurana_03_kalpas-and-shiva-lineages_iast	12.70
with	C3	vayupurana_04_bhuvana-vinyasa_iast	22.22
with	C3	vayupurana_05_jyotis-and-purvardha-close_iast	15.08
with	C3	vayupurana_06_prthu-and-prajapati-lineages_iast	19.84
with	C3	vayupurana_07_shraddha-kalpa_iast	6.35
with	C3	vayupurana_08_manu-candra-vishnu-vamsha_iast	11.90
with	C3	vayupurana_09_upasamhara_iast	10.32
with	C3	vayupurana_10_gaya-mahatmya_iast	2.38
with	C3	vayupurana_revakhanda	10.32
with	C3	visnudharma_pu	10.32
with	C3	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	40.48
with	C3	visnupurana_amsa-1_u	12.70
with	C3	visnupurana_amsa-2_u	8.73
with	C3	visnupurana_amsa-3_u	16.67
with	C3	visnupurana_amsa-4_u	13.49
with	C3	visnupurana_amsa-5_u	1.59
with	C3	visnupurana_amsa-6_u	21.43
with	C3	visnupurana_u	3.97
noreuse	W1	agnipurana_u	6.40
noreuse	W1	bhagavatapurana_skandha-01_u	1.60
noreuse	W1	bhagavatapurana_skandha-02_u	14.40
noreuse	W1	bhagavatapurana_skandha-03_u	3.20
noreuse	W1	bhagavatapurana_skandha-04_u	2.40
noreuse	W1	bhagavatapurana_skandha-05_u	7.20
noreuse	W1	bhagavatapurana_skandha-06_u	3.20
noreuse	W1	bhagavatapurana_skandha-07_u	2.40
noreuse	W1	bhagavatapurana_skandha-08_u	1.60
noreuse	W1	bhagavatapurana_skandha-09_u	11.20
noreuse	W1	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.80
noreuse	W1	bhagavatapurana_skandha-10_u	6.40
noreuse	W1	bhagavatapurana_skandha-11_u	13.60
noreuse	W1	bhagavatapurana_skandha-12_u	8.80
noreuse	W1	bhavisyapurana	12.00
noreuse	W1	brahmandapurana	13.60
noreuse	W1	brahmandapurana_khanda-1_u	3.20
noreuse	W1	brahmandapurana_khanda-2_u	0.80
noreuse	W1	brahmandapurana_khanda-3_u	22.40
noreuse	W1	brahmapurana_pu	2.40
noreuse	W1	devibhagavatapurana	3.20
noreuse	W1	devibhagavatapurana_devigita_adhyaya-31-40	14.40
noreuse	W1	devipurana	16.00
noreuse	W1	garudapurana_khanda-1_u	9.60
noreuse	W1	garudapurana_khanda-2_u	1.60
noreuse	W1	garudapurana_khanda-3_u	4.00
noreuse	W1	harivamsa	4.00
noreuse	W1	harivamsa_appendix-29-30_mathura	5.60
noreuse	W1	harivamsa_appendix-31	4.00
noreuse	W1	harivamsa_appendix-41	2.40
noreuse	W1	harivamsa_appendix-42_pradurbhava	27.20
noreuse	W1	kalikapurana	1.60
noreuse	W1	karatoyamahatmya_pu	0.00
noreuse	W1	kirfel_ppl_textgruppe_IIA_col1	11.20
noreuse	W1	kirfel_ppl_textgruppe_IIB_col1	5.60
noreuse	W1	kirfel_ppl_textgruppe_III_col1	12.80
noreuse	W1	kirfel_ppl_textgruppe_II_col1	13.60
noreuse	W1	kirfel_ppl_textgruppe_I_col1	5.60
noreuse	W1	kirfel_ppl_textgruppe_Ia_col1	12.00
noreuse	W1	kirfel_ppl_ungrouped_col1	0.00
noreuse	W1	kurmapurana_khanda-1_u	1.60
noreuse	W1	kurmapurana_khanda-2_u	5.60
noreuse	W1	lingapurana_khanda-1_u	10.40
noreuse	W1	lingapurana_khanda-2_u	8.00
noreuse	W1	mahabharata_01-adiparvan	0.00
noreuse	W1	mahabharata_02-appendix-21_sisupala	22.40
noreuse	W1	mahabharata_02-sabhaparvan	8.80
noreuse	W1	mahabharata_03-aranyakaparvan	0.80
noreuse	W1	mahabharata_04-virataparvan	0.80
noreuse	W1	mahabharata_05-udyogaparvan	0.80
noreuse	W1	mahabharata_06-bhismaparvan	7.20
noreuse	W1	mahabharata_07-appendix-08_sodasarajika	4.80
noreuse	W1	mahabharata_07-dronaparvan	8.80
noreuse	W1	mahabharata_08-karnaparvan	10.40
noreuse	W1	mahabharata_09-salyaparvan	11.20
noreuse	W1	mahabharata_10-sauptikaparvan	3.20
noreuse	W1	mahabharata_11-striparvan	2.40
noreuse	W1	mahabharata_12-appendix-29_moksadharma	12.00
noreuse	W1	mahabharata_12-santiparvan	0.00
noreuse	W1	mahabharata_13-anusasanaparvan	1.60
noreuse	W1	mahabharata_13-appendix-15_umamahesvara	15.20
noreuse	W1	mahabharata_14-appendix-04_vaisnavadharma	7.20
noreuse	W1	mahabharata_14-asvamedhikaparvan	4.80
noreuse	W1	mahabharata_15-asramavasikaparvan	4.00
noreuse	W1	mahabharata_16-mausalaparvan	14.40
noreuse	W1	mahabharata_17-mahaprasthanikaparvan	9.60
noreuse	W1	mahabharata_18-svargarohanaparvan	15.20
noreuse	W1	markandeyapurana	7.20
noreuse	W1	markandeyapurana_adhyaya-1-80_u	10.40
noreuse	W1	markandeyapurana_adhyaya-81-93_devimahatmya_u	4.00
noreuse	W1	markandeyapurana_adhyaya-94-141_u	16.00
noreuse	W1	matsyapurana_pu	15.20
noreuse	W1	naradapurana_khanda-1_u	4.00
noreuse	W1	naradapurana_khanda-2_u	11.20
noreuse	W1	nilamatapurana_au	6.40
noreuse	W1	nrsimhapurana_pu	1.60
noreuse	W1	padmapurana_a	2.40
noreuse	W1	pranavakalpa	5.60
noreuse	W1	ramayana_01-balakanda	8.00
noreuse	W1	ramayana_02-ayodhyakanda_a	0.80
noreuse	W1	ramayana_03-aranyakanda_a	5.60
noreuse	W1	ramayana_04-kiskindhakanda	2.40
noreuse	W1	ramayana_05-sundarakanda	1.60
noreuse	W1	ramayana_06-yuddhakanda	7.20
noreuse	W1	ramayana_07-uttarakanda	1.60
noreuse	W1	saurapurana	3.20
noreuse	W1	sivadharmasastra	4.80
noreuse	W1	sivadharmottara	4.00
noreuse	W1	sivapurana_dharmasamhita	12.00
noreuse	W1	sivapurana_karvanamahatmya_au	39.20
noreuse	W1	sivapurana_rudrasamhita	0.80
noreuse	W1	sivapurana_sanatkumarasamhita	8.80
noreuse	W1	sivapurana_satarudrasamhita_au	5.60
noreuse	W1	sivapurana_umasamhita	1.60
noreuse	W1	sivapurana_vayaviyasamhita_au	3.20
noreuse	W1	sivapurana_vidyesvarasamhita_au	3.20
noreuse	W1	skandamahapurana_himavatkhanda	19.20
noreuse	W1	skandamahapurana_kasikhanda	8.00
noreuse	W1	skandamahapurana_revakhanda	4.00
noreuse	W1	skandamahapurana_sutasamhita_khanda-4	0.00
noreuse	W1	skandapurana	3.20
noreuse	W1	skandapurana_adhyaya-1-31_pu	12.00
noreuse	W1	skandapurana_pasupata_adhyaya174-183_u	2.40
noreuse	W1	vamanapurana_saromahatmya_u	5.60
noreuse	W1	vamanapurana_u	3.20
noreuse	W1	vayupurana	10.40
noreuse	W1	vayupurana_01_frame-and-cosmogony_iast	6.40
noreuse	W1	vayupurana_02_pashupata-yoga_iast	2.40
noreuse	W1	vayupurana_03_kalpas-and-shiva-lineages_iast	24.80
noreuse	W1	vayupurana_04_bhuvana-vinyasa_iast	7.20
noreuse	W1	vayupurana_05_jyotis-and-purvardha-close_iast	8.00
noreuse	W1	vayupurana_06_prthu-and-prajapati-lineages_iast	15.20
noreuse	W1	vayupurana_07_shraddha-kalpa_iast	8.00
noreuse	W1	vayupurana_08_manu-candra-vishnu-vamsha_iast	16.80
noreuse	W1	vayupurana_09_upasamhara_iast	3.20
noreuse	W1	vayupurana_10_gaya-mahatmya_iast	7.20
noreuse	W1	vayupurana_revakhanda	5.60
noreuse	W1	visnudharma_pu	12.00
noreuse	W1	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.80
noreuse	W1	visnupurana_amsa-1_u	6.40
noreuse	W1	visnupurana_amsa-2_u	20.00
noreuse	W1	visnupurana_amsa-3_u	4.80
noreuse	W1	visnupurana_amsa-4_u	7.20
noreuse	W1	visnupurana_amsa-5_u	16.80
noreuse	W1	visnupurana_amsa-6_u	14.40
noreuse	W1	visnupurana_u	1.60
noreuse	C3	agnipurana_u	14.40
noreuse	C3	bhagavatapurana_skandha-01_u	2.40
noreuse	C3	bhagavatapurana_skandha-02_u	0.80
noreuse	C3	bhagavatapurana_skandha-03_u	12.80
noreuse	C3	bhagavatapurana_skandha-04_u	10.40
noreuse	C3	bhagavatapurana_skandha-05_u	10.40
noreuse	C3	bhagavatapurana_skandha-06_u	8.80
noreuse	C3	bhagavatapurana_skandha-07_u	12.00
noreuse	C3	bhagavatapurana_skandha-08_u	8.80
noreuse	C3	bhagavatapurana_skandha-09_u	4.00
noreuse	C3	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	20.80
noreuse	C3	bhagavatapurana_skandha-10_u	12.80
noreuse	C3	bhagavatapurana_skandha-11_u	4.00
noreuse	C3	bhagavatapurana_skandha-12_u	10.40
noreuse	C3	bhavisyapurana	24.00
noreuse	C3	brahmandapurana	12.80
noreuse	C3	brahmandapurana_khanda-1_u	29.60
noreuse	C3	brahmandapurana_khanda-2_u	10.40
noreuse	C3	brahmandapurana_khanda-3_u	16.00
noreuse	C3	brahmapurana_pu	11.20
noreuse	C3	devibhagavatapurana	21.60
noreuse	C3	devibhagavatapurana_devigita_adhyaya-31-40	0.80
noreuse	C3	devipurana	18.40
noreuse	C3	garudapurana_khanda-1_u	15.20
noreuse	C3	garudapurana_khanda-2_u	12.00
noreuse	C3	garudapurana_khanda-3_u	7.20
noreuse	C3	harivamsa	6.40
noreuse	C3	harivamsa_appendix-29-30_mathura	6.40
noreuse	C3	harivamsa_appendix-31	13.60
noreuse	C3	harivamsa_appendix-41	8.80
noreuse	C3	harivamsa_appendix-42_pradurbhava	1.60
noreuse	C3	kalikapurana	9.60
noreuse	C3	karatoyamahatmya_pu	0.00
noreuse	C3	kirfel_ppl_textgruppe_IIA_col1	24.80
noreuse	C3	kirfel_ppl_textgruppe_IIB_col1	32.80
noreuse	C3	kirfel_ppl_textgruppe_III_col1	55.20
