w1_mfw	250	500	1000	2000	3000	5000	8000	12000
30	0.8351	0.8466	0.8451	0.8445	0.8320	0.8043	0.7723	0.6913
50	0.8267	0.8461	0.8483	0.8327	0.8196	0.7920	0.7479	0.6582
80	0.8860	0.8936	0.8922	0.8711	0.8586	0.8334	0.7908	0.7060
120	0.9017	0.9015	0.8993	0.8832	0.8783	0.8578	0.8246	0.7505
200	0.9025	0.9178	0.9204	0.9117	0.9031	0.8781	0.8319	0.7391
300	0.8967	0.9205	0.9222	0.9197	0.9154	0.8969	0.8493	0.7510
500	0.9026	0.9300	0.9352	0.9354	0.9319	0.9177	0.8708	0.7719
800	0.8900	0.9213	0.9284	0.9352	0.9362	0.9307	0.8850	0.7823
1500	0.8687	0.9023	0.9099	0.9229	0.9279	0.9312	0.8889	0.7875
3000	0.8394	0.8716	0.8832	0.9013	0.9127	0.9272	0.8956	0.8029
5000	0.8111	0.8430	0.8552	0.8760	0.8897	0.9105	0.8850	0.7956
