a	b	containment	matched_a	matched_b	units_a	units_b
devibhagavatapurana	devibhagavatapurana_devigita_adhyaya-31-40	1.18407	862	676	28831	728
vayupurana	vayupurana_09_upasamhara_iast	1.07330	1391	1296	15778	1296
vayupurana	vayupurana_02_pashupata-yoga_iast	1.07111	482	450	15778	450
vayupurana	vayupurana_03_kalpas-and-shiva-lineages_iast	1.05582	2005	1899	15778	1899
vayupurana	vayupurana_01_frame-and-cosmogony_iast	1.05576	1458	1381	15778	1381
vayupurana	vayupurana_05_jyotis-and-purvardha-close_iast	1.04271	2124	2037	15778	2037
vayupurana	vayupurana_06_prthu-and-prajapati-lineages_iast	1.03490	2046	1977	15778	1977
vayupurana	vayupurana_08_manu-candra-vishnu-vamsha_iast	1.02761	2866	2789	15778	2789
vayupurana	vayupurana_04_bhuvana-vinyasa_iast	1.02673	1690	1646	15778	1646
vayupurana	vayupurana_07_shraddha-kalpa_iast	1.01756	1449	1424	15778	1424
vayupurana	vayupurana_10_gaya-mahatmya_iast	1.01538	924	910	15778	910
vayu_ba	vayupurana	1.00563	9763	9818	9763	15778
skandapurana	skandapurana_pasupata_adhyaya174-183_u	1.00292	688	686	14008	686
skandapurana	skandapurana_adhyaya-1-31_pu	0.97239	2219	2185	14008	2282
brahmandapurana	brahmandapurana_khanda-1_u	0.94926	5276	5229	18962	5558
brahmandapurana	brahmandapurana_khanda-3_u	0.93702	5966	5945	18962	6367
brahmandapurana	brahmandapurana_khanda-2_u	0.93214	7871	7835	18962	8444
vayu_ba	vayupurana_05_jyotis-and-purvardha-close_iast	0.90820	1850	1794	9763	2037
brahmandapurana	vayu_ba	0.85179	8237	8316	18962	9763
vayu_ba	vayupurana_07_shraddha-kalpa_iast	0.83357	1187	1184	9763	1424
brahmandapurana_khanda-1_u	vayupurana_05_jyotis-and-purvardha-close_iast	0.81787	1666	1651	5558	2037
vayu_ba	vayupurana_09_upasamhara_iast	0.81559	1057	1002	9763	1296
vayu_ba	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.79885	2228	2194	9763	2789
vayu_ba	vayupurana_06_prthu-and-prajapati-lineages_iast	0.79464	1571	1524	9763	1977
brahmandapurana	vayupurana_05_jyotis-and-purvardha-close_iast	0.78694	1603	1575	18962	2037
brahmandapurana_khanda-2_u	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.73360	2045	2046	8444	2789
brahmandapurana_khanda-2_u	vayupurana_07_shraddha-kalpa_iast	0.72753	1030	1036	8444	1424
brahmandapurana_khanda-3_u	vayupurana_09_upasamhara_iast	0.72685	931	942	6367	1296
vayu_ba	vayupurana_01_frame-and-cosmogony_iast	0.71035	981	928	9763	1381
brahmandapurana	vayupurana_09_upasamhara_iast	0.70216	910	892	18962	1296
brahmandapurana_khanda-1_u	vayupurana	0.69575	3823	3867	5558	15778
brahmandapurana	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.69559	1940	1926	18962	2789
brahmandapurana	vayupurana_07_shraddha-kalpa_iast	0.69101	981	984	18962	1424
brahmandapurana_khanda-1_u	vayu_ba	0.68748	3781	3821	5558	9763
brahmandapurana	vayupurana_06_prthu-and-prajapati-lineages_iast	0.65959	1304	1281	18962	1977
brahmandapurana_khanda-1_u	vayupurana_01_frame-and-cosmogony_iast	0.59957	828	783	5558	1381
brahmandapurana	vayupurana_01_frame-and-cosmogony_iast	0.59088	816	761	18962	1381
brahmandapurana	vayupurana	0.53289	8321	8408	18962	15778
brahmandapurana_khanda-2_u	vayupurana_06_prthu-and-prajapati-lineages_iast	0.50025	989	987	8444	1977
brahmandapurana_khanda-2_u	vayupurana	0.48863	4046	4126	8444	15778
brahmandapurana_khanda-2_u	vayu_ba	0.48295	4003	4078	8444	9763
lingapurana_khanda-1_u	vayupurana_02_pashupata-yoga_iast	0.46222	208	206	9897	450
sivapurana_dharmasamhita	sivapurana_umasamhita	0.44425	1753	1751	7078	3946
vayu_ba	vayupurana_04_bhuvana-vinyasa_iast	0.39368	648	638	9763	1646
matsyapurana_adhyaya-1-176_pu	padmapurana_a	0.37898	4525	4605	12151	69897
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	bhagavatapurana_skandha-10_u	0.36930	154	154	417	5997
brahmandapurana_khanda-1_u	vayupurana_04_bhuvana-vinyasa_iast	0.34994	576	570	5558	1646
brahmapurana_pu	visnupurana_u	0.33970	2508	2502	20147	7383
brahmandapurana	vayupurana_04_bhuvana-vinyasa_iast	0.33475	551	548	18962	1646
vayu_ba	vayupurana_03_kalpas-and-shiva-lineages_iast	0.31596	600	554	9763	1899
lingapurana_khanda-1_u	vayupurana_01_frame-and-cosmogony_iast	0.29254	390	404	9897	1381
matsyapurana_adhyaya-1-176_pu	vayupurana_05_jyotis-and-purvardha-close_iast	0.28768	583	586	12151	2037
lingapurana_khanda-1_u	vayupurana_03_kalpas-and-shiva-lineages_iast	0.28383	539	527	9897	1899
sivapurana_sanatkumarasamhita	skandapurana_pasupata_adhyaya174-183_u	0.27551	189	187	4856	686
brahmandapurana	vayupurana_03_kalpas-and-shiva-lineages_iast	0.25013	475	456	18962	1899
brahmandapurana_khanda-1_u	vayupurana_03_kalpas-and-shiva-lineages_iast	0.24487	465	450	5558	1899
kurmapurana_khanda-2_u	padmapurana_a	0.23909	912	948	3965	69897
brahmapurana_pu	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.23091	644	625	20147	2789
matsyapurana_adhyaya-1-176_pu	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.21764	604	607	12151	2789
lingapurana_khanda-1_u	vayupurana_05_jyotis-and-purvardha-close_iast	0.21649	440	441	9897	2037
matsyapurana_adhyaya-1-176_pu	vayupurana_04_bhuvana-vinyasa_iast	0.20170	322	332	12151	1646
sivapurana_sanatkumarasamhita	skandapurana	0.20161	960	979	4856	14008
lingapurana_khanda-1_u	vayupurana	0.19602	1891	1940	9897	15778
brahmandapurana_khanda-1_u	vayupurana_06_prthu-and-prajapati-lineages_iast	0.19373	383	378	5558	1977
brahmandapurana_khanda-1_u	lingapurana_khanda-1_u	0.18838	1047	1016	5558	9897
brahmandapurana_khanda-1_u	matsyapurana_adhyaya-1-176_pu	0.18820	1046	1019	5558	12151
lingapurana_khanda-1_u	sivapurana_satarudrasamhita_au	0.18707	275	257	9897	1470
sivapurana_satarudrasamhita_au	skandamahapurana_kasikhanda	0.18707	273	275	1470	18539
bhavisyapurana	visnudharma_pu	0.18330	1111	1012	39479	6061
skandamahapurana_revakhanda	vayupurana_revakhanda	0.16141	1466	1529	9473	10332
brahmandapurana_khanda-3_u	vayupurana	0.15627	931	995	6367	15778
brahmandapurana_khanda-3_u	vayu_ba	0.15565	928	991	6367	9763
brahmapurana_pu	vayupurana_03_kalpas-and-shiva-lineages_iast	0.15271	290	281	20147	1899
sivapurana_sanatkumarasamhita	skandapurana_adhyaya-1-31_pu	0.15074	344	341	4856	2282
vamanapurana_saromahatmya_u	visnudharma_pu	0.15012	250	251	1672	6061
matsyapurana_adhyaya-1-176_pu	vayu_ba	0.14299	1341	1396	12151	9763
brahmapurana_pu	skandapurana_adhyaya-1-31_pu	0.13760	314	312	20147	2282
matsyapurana_adhyaya-1-176_pu	vayupurana	0.13480	1580	1638	12151	15778
bhagavatapurana_skandha-05_u	devibhagavatapurana	0.13297	72	73	549	28831
padmapurana_a	vayupurana_01_frame-and-cosmogony_iast	0.12455	172	170	69897	1381
brahmandapurana	matsyapurana_adhyaya-1-176_pu	0.12040	1463	1420	18962	12151
brahmandapurana	lingapurana_khanda-1_u	0.11983	1186	1145	18962	9897
kurmapurana_khanda-1_u	lingapurana_khanda-1_u	0.11188	523	549	4907	9897
kurmapurana_khanda-1_u	vayupurana_01_frame-and-cosmogony_iast	0.11151	147	154	4907	1381
markandeyapurana_adhyaya-1-93_u	vayupurana_01_frame-and-cosmogony_iast	0.11079	144	153	6627	1381
lingapurana_khanda-1_u	vayu_ba	0.10990	1025	1073	9897	9763
brahmapurana_pu	vayu_ba	0.10806	1049	1055	20147	9763
brahmapurana_pu	sivapurana_umasamhita	0.10669	421	410	20147	3946
kurmapurana_khanda-1_u	padmapurana_a	0.10577	475	519	4907	69897
brahmapurana_pu	vayupurana_06_prthu-and-prajapati-lineages_iast	0.10521	208	206	20147	1977
bhavisyapurana	matsyapurana_adhyaya-1-176_pu	0.10386	1262	1217	39479	12151
garudapurana_khanda-1_u	vayupurana_10_gaya-mahatmya_iast	0.09670	88	88	11277	910
lingapurana_khanda-1_u	skandapurana_adhyaya-1-31_pu	0.09641	220	219	9897	2282
kurmapurana_khanda-1_u	vayupurana	0.09599	429	471	4907	15778
brahmandapurana_khanda-2_u	brahmapurana_pu	0.09391	773	793	8444	20147
padmapurana_a	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.09341	34	4	69897	364
bhavisyapurana	sivapurana_dharmasamhita	0.09212	652	583	39479	7078
brahmapurana_pu	sivapurana_dharmasamhita	0.08788	622	607	20147	7078
brahmapurana_pu	vayupurana	0.08753	1375	1381	20147	15778
bhavisyapurana	sivapurana_umasamhita	0.08591	339	307	39479	3946
padmapurana_a	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.08032	224	217	69897	2789
sivapurana_vayaviyasamhita_au	vayupurana_01_frame-and-cosmogony_iast	0.07965	102	110	5811	1381
padmapurana_a	vamanapurana_saromahatmya_u	0.07895	132	106	69897	1672
lingapurana_khanda-1_u	vayupurana_04_bhuvana-vinyasa_iast	0.07837	127	129	9897	1646
markandeyapurana_adhyaya-1-93_u	vayupurana_02_pashupata-yoga_iast	0.07778	35	35	6627	450
brahmandapurana	kurmapurana_khanda-1_u	0.07764	381	351	18962	4907
kurmapurana_khanda-1_u	vayu_ba	0.07601	335	373	4907	9763
brahmapurana_pu	markandeyapurana_adhyaya-1-93_u	0.07515	498	487	20147	6627
padmapurana_a	sivapurana_umasamhita	0.07248	286	270	69897	3946
padmapurana_a	sivapurana_dharmasamhita	0.07135	505	465	69897	7078
skandapurana	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.06868	25	5	14008	364
sivapurana_dharmasamhita	sivapurana_rudrasamhita	0.06782	478	480	7078	14705
mahabharata_13-anusasanaparvan	sivapurana_dharmasamhita	0.06725	476	466	9240	7078
padmapurana_a	visnupurana_u	0.06705	495	471	69897	7383
lingapurana_khanda-1_u	sivapurana_vayaviyasamhita_au	0.06625	385	365	9897	5811
brahmandapurana_khanda-1_u	kurmapurana_khanda-1_u	0.06603	324	303	5558	4907
vayupurana_01_frame-and-cosmogony_iast	visnupurana_u	0.06445	89	86	1381	7383
brahmapurana_pu	vayupurana_07_shraddha-kalpa_iast	0.06320	90	86	20147	1424
mahabharata_01-adiparvan	matsyapurana_adhyaya-1-176_pu	0.06311	661	663	10506	12151
lingapurana_khanda-1_u	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.06203	173	172	9897	2789
mahabharata_03-aranyakaparvan	padmapurana_a	0.06192	841	927	14972	69897
kurmapurana_khanda-1_u	visnupurana_u	0.06134	301	301	4907	7383
lingapurana_khanda-1_u	saurapurana	0.06098	309	301	9897	5067
brahmandapurana_khanda-1_u	brahmapurana_pu	0.06045	336	332	5558	20147
agnipurana_u	vayupurana_10_gaya-mahatmya_iast	0.05934	54	54	15548	910
brahmandapurana_khanda-2_u	matsyapurana_adhyaya-1-176_pu	0.05850	494	488	8444	12151
bhavisyapurana	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.05769	21	3	39479	364
brahmandapurana	brahmapurana_pu	0.05759	1092	1088	18962	20147
kalikapurana	sivapurana_rudrasamhita	0.05636	705	703	12508	14705
vayupurana	visnupurana_u	0.05621	415	384	15778	7383
naradapurana_khanda-1_u	visnupurana_u	0.05472	403	404	19022	7383
mahabharata_03-aranyakaparvan	vamanapurana_saromahatmya_u	0.05443	91	82	14972	1672
brahmandapurana	visnupurana_u	0.05404	399	372	18962	7383
brahmandapurana_khanda-1_u	visnupurana_u	0.05362	298	283	5558	7383
garudapurana_khanda-1_u	kurmapurana_khanda-2_u	0.05271	209	209	11277	3965
vayupurana_06_prthu-and-prajapati-lineages_iast	visnupurana_u	0.05210	103	102	1977	7383
markandeyapurana_adhyaya-1-93_u	vayupurana	0.05191	318	344	6627	15778
padmapurana_a	vayu_ba	0.05091	479	497	69897	9763
kurmapurana_khanda-1_u	matsyapurana_adhyaya-1-176_pu	0.05074	239	249	4907	12151
mahabharata_09-salyaparvan	vamanapurana_saromahatmya_u	0.05024	84	83	4933	1672
bhavisyapurana	vayupurana_05_jyotis-and-purvardha-close_iast	0.05007	102	96	39479	2037
lingapurana_khanda-1_u	sivapurana_rudrasamhita	0.04971	454	492	9897	14705
vayu_ba	visnupurana_u	0.04944	365	335	9763	7383
sivapurana_dharmasamhita	vayupurana_06_prthu-and-prajapati-lineages_iast	0.04906	96	97	7078	1977
agnipurana_u	nrsimhapurana_pu	0.04887	254	245	15548	5197
brahmapurana_pu	mahabharata_12-santiparvan	0.04883	841	857	20147	17549
sivapurana_sanatkumarasamhita	vayupurana_05_jyotis-and-purvardha-close_iast	0.04811	97	98	4856	2037
vayupurana_05_jyotis-and-purvardha-close_iast	visnupurana_u	0.04811	98	96	2037	7383
sivapurana_umasamhita	vayupurana	0.04764	180	188	3946	15778
vamanapurana_saromahatmya_u	vayupurana	0.04725	67	79	1672	15778
mahabharata_12-santiparvan	naradapurana_khanda-1_u	0.04724	829	805	17549	19022
skandapurana	vayupurana_05_jyotis-and-purvardha-close_iast	0.04713	96	95	14008	2037
brahmapurana_pu	vayupurana_09_upasamhara_iast	0.04707	59	61	20147	1296
brahmandapurana	sivapurana_umasamhita	0.04688	185	171	18962	3946
brahmandapurana_khanda-1_u	padmapurana_a	0.04678	260	258	5558	69897
kurmapurana_khanda-1_u	vayupurana_05_jyotis-and-purvardha-close_iast	0.04615	94	94	4907	2037
sivapurana_umasamhita	vayu_ba	0.04612	174	182	3946	9763
bhavisyapurana	padmapurana_a	0.04590	1734	1812	39479	69897
padmapurana_a	vayupurana_04_bhuvana-vinyasa_iast	0.04557	73	75	69897	1646
mahabharata_06-bhismaparvan	vayupurana_04_bhuvana-vinyasa_iast	0.04496	71	74	7923	1646
sivapurana_satarudrasamhita_au	vayupurana	0.04490	55	66	1470	15778
brahmandapurana_khanda-1_u	markandeyapurana_adhyaya-1-93_u	0.04408	245	229	5558	6627
lingapurana_khanda-1_u	matsyapurana_adhyaya-1-176_pu	0.04405	426	436	9897	12151
bhavisyapurana	devipurana	0.04367	285	193	39479	6526
brahmapurana_pu	vamanapurana_saromahatmya_u	0.04306	72	65	20147	1672
brahmapurana_pu	mahabharata_13-anusasanaparvan	0.04297	397	387	20147	9240
sivapurana_satarudrasamhita_au	vayupurana_03_kalpas-and-shiva-lineages_iast	0.04286	53	63	1470	1899
sivapurana_vayaviyasamhita_au	vayupurana_03_kalpas-and-shiva-lineages_iast	0.04265	79	81	5811	1899
markandeyapurana_adhyaya-1-93_u	vayupurana_04_bhuvana-vinyasa_iast	0.04253	70	70	6627	1646
sivapurana_dharmasamhita	vayupurana	0.04224	286	299	7078	15778
kurmapurana_khanda-1_u	vayupurana_03_kalpas-and-shiva-lineages_iast	0.04213	77	80	4907	1899
markandeyapurana_adhyaya-1-93_u	padmapurana_a	0.04165	222	276	6627	69897
brahmapurana_pu	kurmapurana_khanda-1_u	0.04157	204	191	20147	4907
bhagavatapurana_skandha-11_u	padmapurana_a	0.04134	78	79	1911	69897
mahabharata_06-bhismaparvan	padmapurana_a	0.04102	318	325	7923	69897
agnipurana_u	visnupurana_u	0.04077	301	292	15548	7383
padmapurana_a	vayupurana	0.04044	622	638	69897	15778
brahmandapurana	sivapurana_dharmasamhita	0.04012	284	273	18962	7078
brahmapurana_pu	vayupurana_04_bhuvana-vinyasa_iast	0.04010	64	66	20147	1646
kurmapurana_khanda-2_u	vayupurana_02_pashupata-yoga_iast	0.04000	18	18	3965	450
brahmandapurana	markandeyapurana_adhyaya-1-93_u	0.03999	265	243	18962	6627
markandeyapurana_adhyaya-1-93_u	vayu_ba	0.03999	241	265	6627	9763
padmapurana_a	ramayana_07-uttarakanda	0.03971	150	148	69897	3777
sivapurana_dharmasamhita	vayu_ba	0.03956	268	280	7078	9763
sivapurana_vayaviyasamhita_au	vayupurana	0.03889	198	226	5811	15778
devibhagavatapurana	markandeyapurana_adhyaya-1-93_u	0.03878	257	247	28831	6627
nrsimhapurana_pu	padmapurana_a	0.03848	168	200	5197	69897
devibhagavatapurana_devigita_adhyaya-31-40	skandamahapurana_kasikhanda	0.03846	8	28	728	18539
garudapurana_khanda-1_u	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.03846	14	14	11277	364
vayupurana_revakhanda	visnudharma_pu	0.03811	231	230	10332	6061
agnipurana_u	garudapurana_khanda-1_u	0.03795	428	413	15548	11277
vamanapurana_u	visnudharma_pu	0.03795	226	230	6598	6061
sivapurana_umasamhita	visnupurana_u	0.03725	142	147	3946	7383
markandeyapurana_adhyaya-1-93_u	visnupurana_u	0.03637	241	239	6627	7383
vayu_ba	vayupurana_02_pashupata-yoga_iast	0.03556	16	15	9763	450
sivapurana_dharmasamhita	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.03550	99	99	7078	2789
bhavisyapurana	vayupurana_01_frame-and-cosmogony_iast	0.03548	49	48	39479	1381
naradapurana_khanda-1_u	padmapurana_a	0.03443	600	655	19022	69897
bhavisyapurana	kurmapurana_khanda-1_u	0.03424	168	159	39479	4907
lingapurana_khanda-2_u	saurapurana	0.03400	113	114	3353	5067
padmapurana_a	vayupurana_02_pashupata-yoga_iast	0.03333	13	15	69897	450
brahmandapurana_khanda-2_u	sivapurana_umasamhita	0.03320	131	127	8444	3946
padmapurana_a	saurapurana	0.03276	166	137	69897	5067
mahabharata_13-anusasanaparvan	visnudharma_pu	0.03267	198	195	9240	6061
naradapurana_khanda-2_u	padmapurana_a	0.03263	95	118	3616	69897
mahabharata_01-adiparvan	mahabharata_18-svargarohanaparvan	0.03261	9	8	10506	276
vamanapurana_saromahatmya_u	vayupurana_03_kalpas-and-shiva-lineages_iast	0.03230	52	54	1672	1899
garudapurana_khanda-1_u	visnupurana_u	0.03197	233	236	11277	7383
lingapurana_khanda-2_u	sivapurana_vayaviyasamhita_au	0.03161	106	102	3353	5811
bhavisyapurana	vayupurana_07_shraddha-kalpa_iast	0.03160	44	45	39479	1424
bhagavatapurana_skandha-01_u	garudapurana_khanda-1_u	0.03145	35	35	1113	11277
lingapurana_khanda-1_u	vayupurana_06_prthu-and-prajapati-lineages_iast	0.03136	62	62	9897	1977
padmapurana_a	vayupurana_revakhanda	0.03126	323	294	69897	10332
kurmapurana_khanda-1_u	vayupurana_04_bhuvana-vinyasa_iast	0.03098	51	51	4907	1646
kurmapurana_khanda-1_u	markandeyapurana_adhyaya-1-93_u	0.03077	151	151	4907	6627
padmapurana_a	sivapurana_karvanamahatmya_au	0.03053	12	9	69897	393
brahmandapurana_khanda-2_u	padmapurana_a	0.03032	248	256	8444	69897
garudapurana_khanda-2_u	padmapurana_a	0.03023	100	121	4002	69897
sivapurana_dharmasamhita	visnupurana_u	0.03023	212	214	7078	7383
devibhagavatapurana_devigita_adhyaya-31-40	padmapurana_a	0.03022	11	22	728	69897
sivapurana_rudrasamhita	skandamahapurana_kasikhanda	0.03013	443	437	14705	18539
sivapurana_sanatkumarasamhita	vayupurana	0.03007	143	146	4856	15778
agnipurana_u	visnudharma_pu	0.03003	179	182	15548	6061
garudapurana_khanda-2_u	markandeyapurana_adhyaya-1-93_u	0.02999	120	120	4002	6627
vamanapurana_saromahatmya_u	vamanapurana_u	0.02990	35	50	1672	6598
lingapurana_khanda-1_u	padmapurana_a	0.02930	289	290	9897	69897
sivapurana_satarudrasamhita_au	sivapurana_vayaviyasamhita_au	0.02925	43	43	1470	5811
kurmapurana_khanda-2_u	vayupurana_09_upasamhara_iast	0.02855	37	37	3965	1296
lingapurana_khanda-1_u	markandeyapurana_adhyaya-1-93_u	0.02837	188	183	9897	6627
devipurana	padmapurana_a	0.02835	57	185	6526	69897
brahmandapurana_khanda-1_u	vayupurana_09_upasamhara_iast	0.02778	36	33	5558	1296
mahabharata_01-adiparvan	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.02761	77	76	10506	2789
padmapurana_a	vayupurana_10_gaya-mahatmya_iast	0.02747	25	22	69897	910
sivapurana_dharmasamhita	vayupurana_07_shraddha-kalpa_iast	0.02739	37	39	7078	1424
mahabharata_06-bhismaparvan	mahabharata_07-dronaparvan	0.02701	214	207	7923	11774
vayupurana_01_frame-and-cosmogony_iast	vayupurana_09_upasamhara_iast	0.02701	35	28	1381	1296
padmapurana_a	sivapurana_sanatkumarasamhita	0.02698	131	84	69897	4856
nrsimhapurana_pu	visnupurana_u	0.02694	136	140	5197	7383
bhavisyapurana	skandamahapurana_revakhanda	0.02692	255	226	39479	9473
vayupurana_09_upasamhara_iast	visnupurana_u	0.02623	34	32	1296	7383
brahmandapurana	padmapurana_a	0.02616	496	496	18962	69897
bhavisyapurana	brahmandapurana_khanda-1_u	0.02609	145	138	39479	5558
padmapurana_a	vayupurana_07_shraddha-kalpa_iast	0.02598	37	31	69897	1424
garudapurana_khanda-1_u	kurmapurana_khanda-1_u	0.02588	127	126	11277	4907
kurmapurana_khanda-2_u	saurapurana	0.02547	101	100	3965	5067
sivapurana_vayaviyasamhita_au	vayu_ba	0.02547	127	148	5811	9763
bhavisyapurana	brahmapurana_pu	0.02546	513	496	39479	20147
sivapurana_karvanamahatmya_au	skandamahapurana_revakhanda	0.02545	10	6	393	9473
sivapurana_dharmasamhita	visnudharma_pu	0.02541	154	154	7078	6061
mahabharata_12-santiparvan	mahabharata_18-svargarohanaparvan	0.02536	7	5	17549	276
garudapurana_khanda-1_u	padmapurana_a	0.02536	255	286	11277	69897
padmapurana_a	vayupurana_06_prthu-and-prajapati-lineages_iast	0.02529	50	50	69897	1977
sivapurana_umasamhita	vayupurana_07_shraddha-kalpa_iast	0.02528	35	36	3946	1424
padmapurana_a	skandamahapurana_revakhanda	0.02523	239	200	69897	9473
bhagavatapurana_skandha-03_u	padmapurana_a	0.02521	50	50	1983	69897
bhavisyapurana	vayu_ba	0.02509	241	245	39479	9763
brahmandapurana_khanda-2_u	sivapurana_dharmasamhita	0.02501	177	173	8444	7078
mahabharata_12-santiparvan	mahabharata_14-asvamedhikaparvan	0.02497	94	86	17549	3764
padmapurana_a	visnudharma_pu	0.02475	150	122	69897	6061
sivapurana_umasamhita	vayupurana_08_manu-candra-vishnu-vamsha_iast	0.02474	69	69	3946	2789
kurmapurana_khanda-2_u	vayupurana_revakhanda	0.02446	71	97	3965	10332
brahmandapurana_khanda-2_u	lingapurana_khanda-1_u	0.02440	205	206	8444	9897
brahmandapurana_khanda-1_u	sivapurana_vayaviyasamhita_au	0.02429	135	129	5558	5811
mahabharata_13-anusasanaparvan	sivapurana_umasamhita	0.02408	95	90	9240	3946
brahmapurana_pu	skandapurana	0.02406	337	334	20147	14008
kurmapurana_khanda-2_u	vayupurana	0.02396	90	95	3965	15778
brahmapurana_pu	vayupurana_01_frame-and-cosmogony_iast	0.02390	33	30	20147	1381
kurmapurana_khanda-1_u	kurmapurana_khanda-2_u	0.02371	94	89	4907	3965
lingapurana_khanda-1_u	skandapurana	0.02364	223	234	9897	14008
kurmapurana_khanda-1_u	sivapurana_vayaviyasamhita_au	0.02364	116	114	4907	5811
brahmandapurana	sivapurana_vayaviyasamhita_au	0.02358	137	127	18962	5811
sivapurana_umasamhita	skandamahapurana_revakhanda	0.02331	91	92	3946	9473
sivapurana_dharmasamhita	skandamahapurana_revakhanda	0.02331	162	165	7078	9473
bhavisyapurana	kurmapurana_khanda-2_u	0.02295	91	80	39479	3965
brahmandapurana_khanda-1_u	sivapurana_sanatkumarasamhita	0.02286	106	111	5558	4856
sivapurana_sanatkumarasamhita	vayu_ba	0.02286	109	111	4856	9763
brahmapurana_pu	lingapurana_khanda-1_u	0.02284	226	214	20147	9897
brahmapurana_pu	matsyapurana_adhyaya-1-176_pu	0.02280	277	269	20147	12151
kurmapurana_khanda-1_u	vayupurana_06_prthu-and-prajapati-lineages_iast	0.02276	44	45	4907	1977
mahabharata_12-santiparvan	vayupurana_03_kalpas-and-shiva-lineages_iast	0.02264	43	40	17549	1899
mahabharata_13-anusasanaparvan	vayupurana_07_shraddha-kalpa_iast	0.02247	32	29	9240	1424
brahmandapurana_khanda-3_u	vayupurana_01_frame-and-cosmogony_iast	0.02245	25	31	6367	1381
kalikapurana	karatoyamahatmya_pu	0.02239	3	3	12508	134
karatoyamahatmya_pu	padmapurana_a	0.02239	3	3	134	69897
mahabharata_07-dronaparvan	mahabharata_08-karnaparvan	0.02223	127	109	11774	5713
brahmandapurana	sivapurana_sanatkumarasamhita	0.02203	100	107	18962	4856
mahabharata_12-santiparvan	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.02198	8	8	17549	364
agnipurana_u	vayupurana_06_prthu-and-prajapati-lineages_iast	0.02175	43	41	15548	1977
garudapurana_khanda-1_u	vayupurana_01_frame-and-cosmogony_iast	0.02172	30	29	11277	1381
vayupurana_01_frame-and-cosmogony_iast	vayupurana_05_jyotis-and-purvardha-close_iast	0.02172	30	30	1381	2037
mahabharata_13-anusasanaparvan	padmapurana_a	0.02165	195	200	9240	69897
brahmapurana_pu	padmapurana_a	0.02164	400	436	20147	69897
agnipurana_u	kurmapurana_khanda-1_u	0.02160	106	100	15548	4907
lingapurana_khanda-1_u	lingapurana_khanda-2_u	0.02118	60	71	9897	3353
bhavisyapurana	sivapurana_sanatkumarasamhita	0.02100	102	94	39479	4856
lingapurana_khanda-1_u	visnupurana_u	0.02099	155	154	9897	7383
garudapurana_khanda-2_u	vayupurana_09_upasamhara_iast	0.02083	26	27	4002	1296
bhavisyapurana	saurapurana	0.02052	104	84	39479	5067
brahmandapurana	kurmapurana_khanda-2_u	0.02043	81	81	18962	3965
agnipurana_u	bhavisyapurana	0.02026	288	315	15548	39479
sivapurana_umasamhita	vayupurana_06_prthu-and-prajapati-lineages_iast	0.02023	39	40	3946	1977
padmapurana_a	sivapurana_rudrasamhita	0.02013	296	293	69897	14705
matsyapurana_adhyaya-1-176_pu	vayupurana_03_kalpas-and-shiva-lineages_iast	0.02001	38	37	12151	1899
vayupurana_02_pashupata-yoga_iast	vayupurana_03_kalpas-and-shiva-lineages_iast	0.02000	7	9	450	1899
kurmapurana_khanda-1_u	saurapurana	0.01997	94	98	4907	5067
brahmandapurana_khanda-1_u	skandapurana	0.01997	110	111	5558	14008
lingapurana_khanda-1_u	sivapurana_dharmasamhita	0.01992	141	138	9897	7078
garudapurana_khanda-1_u	markandeyapurana_adhyaya-1-93_u	0.01992	132	132	11277	6627
vayu_ba	vayupurana_10_gaya-mahatmya_iast	0.01978	18	14	9763	910
bhavisyapurana	vamanapurana_saromahatmya_u	0.01974	33	30	39479	1672
sivapurana_sanatkumarasamhita	sivapurana_satarudrasamhita_au	0.01973	29	29	4856	1470
sivapurana_satarudrasamhita_au	skandapurana	0.01973	29	28	1470	14008
bhavisyapurana	markandeyapurana_adhyaya-1-93_u	0.01947	129	110	39479	6627
brahmandapurana_khanda-1_u	sivapurana_dharmasamhita	0.01889	105	101	5558	7078
garudapurana_khanda-2_u	vayupurana_revakhanda	0.01849	73	74	4002	10332
garudapurana_khanda-1_u	nrsimhapurana_pu	0.01847	93	96	11277	5197
mahabharata_07-dronaparvan	mahabharata_09-salyaparvan	0.01845	91	88	11774	4933
kurmapurana_khanda-2_u	lingapurana_khanda-1_u	0.01841	71	73	3965	9897
sivapurana_satarudrasamhita_au	skandapurana_adhyaya-1-31_pu	0.01837	27	26	1470	2282
