c3_feats	250	500	1000	2000	3000	5000	8000	12000
250	1.0000	0.9802	0.9642	0.9490	0.9387	0.9164	0.8796	0.8003
500	0.9802	1.0000	0.9864	0.9698	0.9555	0.9277	0.8787	0.7849
1000	0.9642	0.9864	1.0000	0.9848	0.9702	0.9466	0.9019	0.8124
2000	0.9490	0.9698	0.9848	1.0000	0.9938	0.9763	0.9411	0.8633
3000	0.9387	0.9555	0.9702	0.9938	1.0000	0.9907	0.9634	0.8954
5000	0.9164	0.9277	0.9466	0.9763	0.9907	1.0000	0.9857	0.9294
8000	0.8796	0.8787	0.9019	0.9411	0.9634	0.9857	1.0000	0.9738
12000	0.8003	0.7849	0.8124	0.8633	0.8954	0.9294	0.9738	1.0000
