w1_mfw\c3_feats	250	500	1000	2000	3000	5000	8000	12000
30	0.7309	0.7283	0.7160	0.7377	0.7301	0.6957	0.7440	0.7242
50	0.7530	0.7575	0.7470	0.7592	0.7483	0.7130	0.7541	0.7151
80	0.8984	0.9194	0.9101	0.9027	0.8918	0.8728	0.8667	0.7353
120	0.9090	0.9248	0.9223	0.9153	0.9099	0.8975	0.8856	0.7542
200	0.9005	0.9297	0.9205	0.9144	0.9040	0.8846	0.8692	0.7216
300	0.9121	0.9411	0.9388	0.9347	0.9299	0.9167	0.8950	0.7418
500	0.9235	0.9526	0.9484	0.9483	0.9447	0.9333	0.9106	0.7632
800	0.9135	0.9407	0.9441	0.9408	0.9404	0.9383	0.9124	0.7731
1500	0.8766	0.8840	0.8975	0.8919	0.8988	0.9204	0.9104	0.8424
3000	0.5144	0.4855	0.5043	0.4988	0.5101	0.5667	0.6243	0.7610
5000	0.1578	0.1136	0.1326	0.1228	0.1347	0.2038	0.2873	0.5288
