unit	code	with_est	with_lo	with_hi	noreuse_est	noreuse_lo	noreuse_hi	shift	residue_words	ci_separated
mahabharata_01-adiparvan	MBh1	16.7	15.1	18.3	16.8	15.2	17.6	0.10000000000000142	63171	False
mahabharata_02-appendix-21_sisupala	MA2	17.5	15.1	19.5	17.6	14.4	22.4	0.10000000000000142	4319	False
bhagavatapurana_skandha-09_u	Bh9	27.0	24.6	31.7	27.2	25.6	33.6	0.1999999999999993	8496	False
matsyapurana_pu	Mt	53.2	48.4	56.3	53.6	49.6	62.4	0.3999999999999986	52429	False
saurapurana	Sau	67.5	64.3	72.2	68.0	61.6	71.2	0.5	24834	False
vayupurana_04_bhuvana-vinyasa_iast	V4	67.5	62.7	76.2	68.0	56.0	73.6	0.5	5062	False
devibhagavatapurana_devigita_adhyaya-31-40	DG	91.3	87.3	95.2	92.0	90.4	97.6	0.7000000000000028	4526	False
sivadharmottara	ŚDhU	90.5	88.9	92.9	91.2	84.8	94.4	0.7000000000000028	6111	False
sivadharmasastra	ŚDh	94.4	91.3	96.0	95.2	90.4	97.6	0.7999999999999972	6210	False
mahabharata_17-mahaprasthanikaparvan	MBh17	0.0	0.0	0.8	0.8	0.8	3.6	0.8	1004	False
mahabharata_15-asramavasikaparvan	MBh15	5.6	4.0	8.7	6.4	4.0	9.6	0.8000000000000007	10674	False
harivamsa	HV	18.3	18.3	21.4	19.2	19.2	20.8	0.8999999999999986	35339	False
ramayana_02-ayodhyakanda_a	R2	13.5	10.3	15.1	14.4	11.2	16.8	0.9000000000000004	29349	False
bhagavatapurana_skandha-05_u	Bh5	43.7	38.9	50.0	44.8	40.0	58.4	1.0999999999999943	9252	False
bhagavatapurana_skandha-06_u	Bh6	39.7	34.9	44.9	40.8	37.6	48.0	1.0999999999999943	8389	False
skandapurana_adhyaya-1-31_pu	SP1	35.7	32.5	39.7	36.8	36.0	42.4	1.0999999999999943	8675	False
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	Bh10c	58.7	46.0	66.7	60.0	45.6	69.6	1.2999999999999972	6870	False
kalikapurana	Kā	64.3	61.1	65.9	65.6	61.2	68.0	1.2999999999999972	74038	False
lingapurana_khanda-1_u	L1	73.8	66.7	77.0	75.2	72.0	78.4	1.4000000000000057	32408	False
agnipurana_u	A	88.9	87.3	88.9	90.4	88.0	92.0	1.5	91768	False
vayupurana_01_frame-and-cosmogony_iast	V1	94.4	91.6	97.6	96.0	80.8	99.2	1.5999999999999943	983	False
ramayana_01-balakanda	R1	9.5	7.9	12.7	11.2	9.6	16.0	1.6999999999999993	14974	False
ramayana_03-aranyakanda_a	R3	11.9	9.9	14.3	13.6	12.8	18.4	1.6999999999999993	19816	False
mahabharata_11-striparvan	MBh11	7.1	3.2	11.9	8.8	4.8	12.8	1.700000000000001	7051	False
harivamsa_appendix-29-30_mathura	HA29	19.0	18.3	22.2	20.8	20.0	24.0	1.8000000000000007	19078	False
harivamsa_appendix-31	HA31	22.2	19.0	23.8	24.0	23.2	26.8	1.8000000000000007	15263	False
bhagavatapurana_skandha-04_u	Bh4	37.3	34.1	41.3	39.2	37.6	43.2	1.9000000000000057	14031	False
brahmapurana_pu	Br	44.4	42.1	47.6	46.4	42.4	48.8	2.0	75411	False
karatoyamahatmya_pu	Kt	96.8	88.1	100.0	99.2	96.0	99.2	2.4000000000000057	845	False
ramayana_06-yuddhakanda	R6	7.9	7.1	9.5	10.4	9.6	11.2	2.5	38653	True
visnupurana_amsa-1_u	Vi1	55.6	47.6	63.5	58.4	44.8	70.4	2.799999999999997	6267	False
vamanapurana_u	Vm	31.7	29.4	34.1	35.2	32.0	36.8	3.5000000000000036	41509	False
bhagavatapurana_skandha-03_u	Bh3	46.0	42.1	51.2	49.6	43.2	61.6	3.6000000000000014	13740	False
kurmapurana_khanda-1_u	K1	65.9	62.7	68.3	69.6	64.8	72.0	3.6999999999999886	17386	False
bhagavatapurana_skandha-11_u	Bh11	59.5	51.6	65.1	63.2	52.8	71.2	3.700000000000003	12864	False
mahabharata_16-mausalaparvan	MBh16	2.4	0.8	7.9	6.4	2.4	11.2	4.0	2698	False
bhagavatapurana_skandha-08_u	Bh8	34.1	29.4	38.1	38.4	37.6	42.4	4.299999999999997	9037	False
skandamahapurana_himavatkhanda	Hm	49.2	44.4	56.3	53.6	45.6	60.0	4.399999999999999	19730	False
brahmandapurana_khanda-1_u	Bḍ1	82.5	81.7	85.7	87.2	80.8	94.4	4.700000000000003	4098	False
bhagavatapurana_skandha-10_u	Bh10	24.6	23.8	28.6	29.6	26.4	33.6	5.0	40850	False
bhagavatapurana_skandha-01_u	Bh1	27.0	24.6	32.5	33.6	28.8	40.0	6.600000000000001	7558	False
bhagavatapurana_skandha-07_u	Bh7	44.4	39.7	54.8	52.0	44.0	66.0	7.600000000000001	7247	False
bhagavatapurana_skandha-12_u	Bh12	51.6	45.6	63.5	59.2	45.6	69.6	7.600000000000001	5347	False
vayupurana_10_gaya-mahatmya_iast	V10	84.1	78.6	91.3	92.0	85.6	96.8	7.900000000000006	4780	False
