unit	code	with_est	with_lo	with_hi	noreuse_est	noreuse_lo	noreuse_hi	shift	residue_words	ci_separated
ramayana_05-sundarakanda	R5	15.9	14.3	18.3	13.6	10.4	16.8	-2.3000000000000007	23653	False
visnupurana_amsa-1_u	Vi1	47.6	43.7	54.8	45.6	46.8	60.0	-2.0	6267	False
nilamatapurana_au	Nī	61.9	57.1	65.9	60.0	56.8	64.8	-1.8999999999999986	12271	False
mahabharata_05-udyogaparvan	MBh5	16.7	15.9	19.0	15.2	12.0	16.8	-1.5	59871	False
mahabharata_06-bhismaparvan	MBh6	15.9	13.5	15.9	14.4	11.2	16.8	-1.5	46323	False
harivamsa_appendix-31	HA31	21.4	19.8	21.4	20.0	18.4	24.8	-1.3999999999999986	15263	False
vamanapurana_u	Vm	30.2	28.6	33.3	28.8	26.8	31.2	-1.3999999999999986	41509	False
devibhagavatapurana_devigita_adhyaya-31-40	DG	90.5	88.9	96.8	89.6	88.8	95.2	-0.9000000000000057	4526	False
sivapurana_satarudrasamhita_au	Śt	38.9	31.7	45.2	38.4	39.2	50.4	-0.5	5553	False
mahabharata_09-salyaparvan	MBh9	3.2	2.4	5.6	3.2	2.4	7.2	0.0	29536	False
mahabharata_02-appendix-21_sisupala	MA2	17.5	13.5	19.8	17.6	16.8	30.4	0.10000000000000142	4319	False
bhagavatapurana_skandha-06_u	Bh6	45.2	38.9	51.6	45.6	44.8	56.8	0.3999999999999986	8389	False
bhagavatapurana_skandha-03_u	Bh3	58.7	54.8	63.9	59.2	56.8	64.0	0.5	13740	False
brahmandapurana_khanda-3_u	Bḍ3	63.5	61.1	65.1	64.0	62.4	64.8	0.5	33709	False
ramayana_01-balakanda	R1	0.8	0.8	3.2	1.6	0.8	6.4	0.8	14974	False
mahabharata_04-virataparvan	MBh4	8.7	5.6	12.7	9.6	8.0	16.0	0.9000000000000004	18288	False
mahabharata_10-sauptikaparvan	MBh10	9.5	4.0	13.5	10.4	9.6	17.6	0.9000000000000004	7144	False
ramayana_06-yuddhakanda	R6	7.1	6.3	10.3	8.0	7.2	10.4	0.9000000000000004	38653	False
harivamsa_appendix-29-30_mathura	HA29	22.2	21.4	26.2	23.2	22.4	30.4	1.0	19078	False
bhagavatapurana_skandha-08_u	Bh8	42.1	37.3	47.6	43.2	42.4	52.0	1.1000000000000014	9037	False
bhagavatapurana_skandha-12_u	Bh12	69.8	64.3	84.1	71.2	71.2	84.0	1.4000000000000057	5347	False
bhagavatapurana_skandha-04_u	Bh4	46.0	41.3	52.4	48.0	44.0	52.0	2.0	14031	False
skandapurana_pasupata_adhyaya174-183_u	SP2	95.2	88.9	97.6	97.6	98.4	100.0	2.3999999999999915	2947	True
karatoyamahatmya_pu	Kt	97.6	88.9	99.2	100.0	100.0	100.0	2.4000000000000057	845	True
mahabharata_02-sabhaparvan	MBh2	14.3	13.5	16.7	16.8	16.0	16.8	2.5	23218	False
mahabharata_07-dronaparvan	MBh7	8.7	6.3	10.3	11.2	9.6	15.6	2.5	74729	False
mahabharata_08-karnaparvan	MBh8	6.3	5.1	10.3	8.8	7.2	12.0	2.500000000000001	38944	False
visnupurana_u	Vi	49.2	45.2	52.4	52.0	50.4	56.8	2.799999999999997	25313	False
bhagavatapurana_skandha-02_u	Bh2	81.0	66.7	85.7	84.0	84.8	88.8	3.0	3875	False
mahabharata_15-asramavasikaparvan	MBh15	1.6	0.8	4.8	4.8	4.0	10.4	3.1999999999999997	10674	False
bhagavatapurana_skandha-10_u	Bh10	31.7	31.0	34.9	36.0	33.6	37.6	4.300000000000001	40850	False
vamanapurana_saromahatmya_u	Sr	50.8	43.7	57.1	55.2	53.6	68.0	4.400000000000006	5002	False
