unit	est	lo	hi	tokens	lines
skandamahapurana_himavatkhanda	40.8	39.2	46.4	19730	1234
skandamahapurana_kasikhanda	56.8	56.8	62.4	116560	1822
skandamahapurana_revakhanda	41.6	39.2	43.2	37889	1185
skandamahapurana_sutasamhita_khanda-4	92.8	91.2	95.2	20612	1289
skandapurana	18.4	17.6	21.6	78281	1631
skandapurana_adhyaya-1-31_pu	36.8	35.2	43.2	8675	543
skandapurana_pasupata_adhyaya174-183_u	98.4	98.4	100.0	2947	185
vamanapurana_saromahatmya_u	54.4	52.8	70.0	5002	313
vamanapurana_u	28.8	27.2	31.2	41509	1298
vayupurana	66.4	65.2	75.2	21054	1316
vayupurana_01_frame-and-cosmogony_iast	97.6	95.2	100.0	983	62
vayupurana_02_pashupata-yoga_iast	99.2	98.4	100.0	1220	77
vayupurana_03_kalpas-and-shiva-lineages_iast	68.0	70.4	85.6	3357	210
vayupurana_04_bhuvana-vinyasa_iast	87.2	88.8	90.4	5062	317
vayupurana_05_jyotis-and-purvardha-close_iast	100.0	98.4	100.0	648	41
vayupurana_06_prthu-and-prajapati-lineages_iast	82.4	84.8	90.8	1421	89
vayupurana_07_shraddha-kalpa_iast	96.0	95.2	100.0	894	56
vayupurana_08_manu-candra-vishnu-vamsha_iast	76.8	78.8	88.8	1064	67
vayupurana_09_upasamhara_iast	91.2	91.2	98.4	1575	99
vayupurana_10_gaya-mahatmya_iast	75.2	74.4	86.4	4780	299
vayupurana_revakhanda	39.2	38.4	42.4	44637	1395
visnudharma_pu	59.2	56.8	64.0	21324	1333
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	52.8	54.4	74.4	2221	139
visnupurana_amsa-1_u	45.6	47.2	60.4	6267	392
visnupurana_amsa-2_u	88.8	90.4	96.0	1642	103
visnupurana_amsa-3_u	78.4	78.4	88.8	4756	298
visnupurana_amsa-4_u	54.4	52.8	64.0	8910	557
visnupurana_amsa-5_u	62.4	63.2	76.0	2796	175
visnupurana_amsa-6_u	93.6	90.4	99.2	945	60
visnupurana_u	52.0	50.4	56.8	25313	1583
