unit	est	lo	hi	tokens	lines
sivapurana_vidyesvarasamhita_au	97.6	94.4	99.2	93012	1159
skandamahapurana_himavatkhanda	49.2	44.4	56.3	130571	1653
skandamahapurana_kasikhanda	75.4	68.3	77.8	783044	1916
skandamahapurana_revakhanda	60.3	55.6	63.5	384919	1672
skandamahapurana_sutasamhita_khanda-4	97.6	96.0	97.6	134857	1693
skandapurana	29.4	28.6	32.5	573843	1779
skandapurana_adhyaya-1-31_pu	36.5	33.3	40.5	92197	1157
skandapurana_pasupata_adhyaya174-183_u	100.0	99.2	100.0	27712	689
vamanapurana_saromahatmya_u	54.0	49.6	64.3	67741	1709
vamanapurana_u	31.7	29.4	34.1	281283	1672
vayu_ba	72.2	66.7	77.0	404098	1671
vayupurana	72.2	68.3	78.6	649215	1813
vayupurana_01_frame-and-cosmogony_iast	93.7	91.3	96.8	56848	1392
vayupurana_02_pashupata-yoga_iast	100.0	99.2	100.0	18661	452
vayupurana_03_kalpas-and-shiva-lineages_iast	71.4	63.1	77.0	76384	1934
vayupurana_04_bhuvana-vinyasa_iast	65.9	60.3	73.8	65069	1665
vayupurana_05_jyotis-and-purvardha-close_iast	84.9	80.2	87.3	82917	1033
vayupurana_06_prthu-and-prajapati-lineages_iast	69.8	66.7	79.4	79300	1001
vayupurana_07_shraddha-kalpa_iast	84.1	79.4	88.1	57772	1435
vayupurana_08_manu-candra-vishnu-vamsha_iast	31.0	27.8	34.1	121409	1552
vayupurana_09_upasamhara_iast	92.9	90.5	96.8	53095	1331
vayupurana_10_gaya-mahatmya_iast	83.3	77.8	90.1	37742	934
vayupurana_revakhanda	60.3	56.3	62.7	425342	1839
visnudharma_pu	56.3	49.6	61.1	247175	1525
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	41.3	34.1	57.1	16331	520
visnupurana_amsa-1_u	54.8	46.8	61.9	73512	1938
visnupurana_amsa-2_u	77.8	66.7	81.7	40407	1046
visnupurana_amsa-3_u	69.0	59.5	76.2	44449	1106
visnupurana_amsa-4_u	28.6	24.6	34.1	55972	928
visnupurana_amsa-5_u	20.6	18.3	23.8	80688	1065
visnupurana_amsa-6_u	73.8	61.9	80.2	26224	660
visnupurana_u	41.3	39.7	44.4	321262	1952
