"Bauddha_Asanga_Abhidharmasmuccaya" "Bauddha_Candrakirti_BSYACS" "Bauddha_Candrakirti_PP" "Bauddha_Dharmakirti_all" "Bauddha_Kamalasila_Bhavanakrama" "Bauddha_Kamalasila_Madhyamakaloka" "Bauddha_Nagarjuna_all" "Bauddha_Sthiramati_Tvbh" "Bauddha_Vasubandhu_AbhidhKBh" "Bauddha_Vasubandhu_MahaySABh" "Bauddha_Vasubandhu_MVKBh" "Borrowers_Bhaskara_BhGBhBh" "Borrowers_Padmapada_Pancapadika" "Borrowers_Ramanuja_BhGBh" "Borrowers_Ramanuja_Sribhasya_part" "Borrowers_Suresvara_BAUBhV_Arthabhaga_Ajatasatru_Maitreyi" "Borrowers_Suresvara_TaittUBhV" "Borrowers_Vacaspati_Bhamati" "Disputed_HastaBh_HastaBh" "Disputed_Sankara_ AiUBh" "Disputed_Sankara_IUBh" "Disputed_Sankara_KaUBh" "Disputed_Sankara_KeUBh" "Disputed_Sankara_KeUBhVakya" "Disputed_Sankara_ManUBh" "Disputed_Sankara_MunUBh" "Disputed_Sankara_PrasUBh" "Disputed0_yvi" "Doubtful_LalitaBhasya" "Doubtful_Sankara_Adhyatmapatala" "Doubtful_Sankara_NrsTBh" "Doubtful_Sankara_Sanatsujatiya" "Doubtful_Sankara_SvUBh" "Doubtful_Sankara_VSN_un" "Mimamsa_Kumarila_MimSV5.4-9" "Mimamsa_Kumarila_Tantravartika2.2.1-4" "Mimamsa_Sabara_MimSBh_1_7" "Nyaya_Udayana_NVTTP_1.1_1.2" "Nyaya_Udayana_Nyayakusumanjali" "Nyaya_Vacaspati_NVTT" "Nyaya_Vatsyayana_NBh" "Others_Abhinavagupta_IsvPrV" "Others_Abhinavagupta_Tantraloka" "Others_Gangesa_Tattvacintamani" "Others_Jayarasi_Tattvopaplavasimha" "Others_Prasastapada_Padarth" "Others_Sarvamatasamgraha" "Others_Totaka_Sruti" "Others_Yamuna_all" "Patanjali_MBh" "Patanjali_PYS" "Samkhya_Kavirajayati_Samkhyatattvapradipa" "Samkhya_Mathara_Matharavrtti" "Samkhya_Samkhyaparibhasa" "Samkhya_Vijnanabhiksu_Samkhyasara" "Samkhya_Yuktidipika" "Sankara_BAUBh" "Sankara_BhGBh" "Sankara_ChUBh" "Sankara_TaittUBh" "Sankara_Upad_Gadya" "TheSankara_BSBh_rev_whole" "Upanisad_BAU" "Upanisad_BhG" "Upanisad_ChU" "Upanisad_TaiU" "Vedantin_Brahmasutra" "Vedantin_Madhusudana_Advaitasiddhi" "Vedantin_Madhusudana_Siddhantabindu" "Vedantin_Madhva_Anuvyakhyana" "Vedantin_Mandana_Brahmasiddhi_prose" "Vedantin_Mandana_Karikas" "Vedantin_Ramanuja_Vedarth" "Vedantin_Sadananda_Vedantasara" "Vedantin_Suresvara_NS" "Vedantin_Vedantaparibhasa" "Vedantin_Venkathanatha_Nyayaparisuddhi" "Vedantin_Vimuktatman_Istasiddhi"
"ca" 2.20193163463757 2.42703990470518 2.93751804713356 1.76497796820605 2.28545482064477 1.3720916557226 3.66642703091301 2.65338331031762 2.00175978882534 2.86495824935215 2.42706545721991 2.2593850157078 1.79727685325265 2.05102019105976 2.03002927116895 1.77866150954703 1.70140845070423 2.58620204984623 2.31729055258467 1.87700666831316 1.92873488067996 1.92558496355965 1.67020523708422 2.48501938667607 1.7212843429328 2.23614869676684 2.43625477443997 2.31308067491258 1.09703960635638 1.80853629129491 1.52419075478234 2.29146735911804 1.9084903352092 1.68057619755345 2.98099762470309 2.31879606879607 2.0168746318947 1.94984702259737 1.83009489380931 2.10114681687401 2.64863790017896 2.1368386939966 1.82633335921124 2.12733394551576 1.69160305343511 2.09837041446536 2.72599935351794 1.50170648464164 2.40139027858234 2.5866445362492 2.01118414598254 1.95942431073348 2.19136372024359 3.2118451025057 2.28286260352516 2.31292103222275 1.9097788369079 2.15744303048239 1.70181469888997 2.37498747369476 2.28245363766049 2.92918851066972 1.39339394216273 3.15326326081643 1.40440299316777 1.95189961659115 6.78391959798995 2.47529514367613 3.00312405522523 3.21260122808579 2.67846717885249 1.88055908513342 2.47353048557868 1.74508504528385 1.52544545571081 2.04321115482847 2.41217516843118 2.59277182079821
"tu" 0.121963279164057 0.48764145324598 0.365385042535706 0.238576332254059 0.706321578124212 0.456710508261952 0.233644859813084 0.315644111264549 0.736911570611527 0.2627411459833 0.196126501593528 0.495033795576429 0.350983358547655 0.387225803706304 0.473813885905616 0.449432081279111 0.585915492957746 0.960830283301568 0.407435701553349 0.296369473944184 0.29421379535796 0.383582662063675 0.410474168435952 0.352485019386676 0.33101621979477 0.242130750605327 0.381955197687623 0.454920954655018 0.189561990804227 0.289365806607186 0.215542126938917 0.3143364766981 0.37191093711769 0.205784840516749 1.02137767220903 0.921375921375921 0.531441329151201 1.01525838916271 0.723000451875282 0.874295903067634 0.479220520978326 0.791946852466985 1.12957068550578 0.673400673400673 0.384732824427481 0.505990029020016 0.301691628057321 1.31968145620023 0.521354468376428 0.266598573074456 0.559207299126852 0.867001907404196 0.415205757519838 0.569476082004556 0.679549798258654 0.734477882027341 0.403026882394749 0.399526487126369 0.32154890793097 0.240505060627317 0.554763036931368 0.734696891383002 0.251267760062132 0.602949564083761 0.23858583667715 0 2.01005025125628 0.684233139456589 0.544190265040814 0.872118892942956 0.917731125796885 0.762388818297332 0.264695144213216 0.883587364700685 0.442250993462377 0.572927452198523 0.718840230991338 0.78954741104857
"hi" 0.0263704387381745 0.781715306730197 0.70411585704449 0.613481997224724 0.433883255133444 0.738969363153459 1.19817876827223 0.641152101006116 0.912890453145623 0.601065361359056 0.441284628585438 0.542633198997239 0.547655068078669 0.40850194676709 0.404321182639459 0.324135864680086 1.03098591549296 0.814653645701564 0.89126559714795 0.506297851321314 0.58842759071592 0.498657460682777 0.976645435244161 1.05745505816003 0.780252518087672 0.897308075772682 0.567771239805925 0.744621861101995 0.0887311446317657 1.18157704364601 0.200146260728994 0.410004100041 0.278933202838268 0.190541518996989 0.997624703087886 0.798525798525799 0.798531687874098 0.77521667699633 0.981573530150123 0.617984357904121 0.344004772320541 0.68054767884631 0.597779675491033 0.459136822773186 0.311450381679389 0.0967333879008855 0.129296412024566 1.04664391353811 0.874190320711991 0.558428253976939 0.353183557343275 0.416160915554014 0.318324414098542 0.41002277904328 0.467190486302824 0.66604826568939 0.776788327271207 0.541580349215744 0.651649648519678 0.962020242509269 0.697416389285148 1.0418666469763 0.671570195075152 0.554061761590483 0.542240537902614 0.627396305332869 1.69597989949749 0.394379925741146 0.171319157512849 1.40903562635342 1.00880368026528 0.787801778907243 0.342278203723987 0.0883587364700685 0.429432124086656 0.283012355905294 0.550409047160731 0.631637928838856
"eva" 0.27359330190856 1.50759380583681 1.65922569467582 1.52640163595199 1.49841077644922 3.24989709312582 1.59357776180206 1.50917340698363 1.25384953805543 0.752231500143968 0.747732287325325 1.39307587344905 1.821482602118 1.67656007318993 1.61939057005075 1.3809822133849 1.38028169014085 1.38136922532004 2.41914947797301 1.92640158063719 1.9614253023864 1.55734560797852 2.02406227883935 1.65667959111738 2.04757175958765 1.35308360632389 1.67234437906473 1.64201568458814 0.548519803178188 1.10923559199421 1.193179631269 1.503348366817 1.40445314411549 0.849815174726573 1.24703087885986 2.16523341523342 1.21423386157871 2.30105559326703 2.12130340914796 1.19088625035458 0.38178564326904 2.62294417888682 1.09657635276764 1.92582389552087 0.995419847328244 1.13847756529504 1.07747010020472 1.66097838452787 1.86423718995208 0.936590882146407 1.11350927106838 1.75134385295648 0.858091898874331 0.888382687927107 1.59269483966872 0.938246072900351 1.94489736192985 1.66913287955016 1.80614705731438 1.82383004309049 2.12394991282295 2.05493612936572 2.17917675544794 1.39330237105842 2.19607417850559 1.42906936214709 0.973618090452261 1.64357032467408 1.8240451476368 2.82993681587612 1.70469140415197 1.04193138500635 2.59218692953633 0.596421471172962 1.78182284322523 1.41506177952647 1.66325794032724 2.7303058859486
"api" 1.24270692553647 1.90217391304348 1.70142822238511 2.13744918080678 1.63967509207406 3.29498010467099 1.38988737119578 1.00611560465575 1.39683238011439 0.392312122084653 0.502574160333415 0.936121600609272 1.91830559757943 0.931895066062424 0.922357697896266 1.31288644349413 0.946478873239437 1.75974182956928 1.68067226890756 0.864410965670536 0.4903563255966 0.981971614883007 0.665251238499646 0.616848783926683 0.926845415425356 0.427289559891753 0.68132548776711 1.41908178392386 0.471888360087118 0.506390161562575 0.419537354220392 0.610450548949934 0.58233423048691 0.514462101291872 2.1021377672209 1.75061425061425 1.23683381500911 2.6237346161792 2.63844956569765 1.68020829112129 0.495128256114536 1.81884468929758 0.705496467665554 1.80593816957453 2.00916030534351 0.878041520946499 1.05592069820062 1.52445961319681 1.81157512243931 1.40503831784508 0.524870008829589 1.71666377666031 1.02878759918804 0.159453302961276 1.31662773412614 1.22869177780143 0.714076675446298 0.908552826279964 0.75427164041254 0.646357350435915 0.586463781898875 1.55061655467769 0.146192151308877 0.822944675303512 0.151827350612732 0.348553502962705 1.60175879396985 2.1508134486761 1.78373475763378 1.76500252143217 2.050300072391 1.52477763659466 1.00401606425703 1.0382151535233 1.32675298038713 1.42196451991441 1.78055822906641 3.24478516669638
"vā" 0.751557504037973 0.316408576533651 0.51642566802159 0.545317330866422 0.242167398214015 0.295979771448733 0.539180445722502 0.66087985796015 0.373955125384954 0.280737114886265 0.183868595243932 0.326849236822898 0.347957639939486 0.16595391587413 0.16425548044728 0.340478849453872 0.394366197183099 0.417727852833859 0.35650623885918 0.444554210916276 0.39228506047728 0.322209436133487 0.410474168435952 0.387733521325344 0.4114058731735 0.270616721264777 0.381955197687623 0.446999445494359 0.657417117044446 0.26525198938992 0.596589815634502 0.236891257801467 0.264252507952043 1.28806066841965 0.926365795724466 0.706388206388206 0.51842923475188 0.615844720557999 0.705427524225536 0.470579892207319 0.393716444621197 0.388884387912177 0.403695365266672 0.581573308846036 1.07480916030534 0.357169432249423 0.26936752505118 0.0910125142207053 0.616146189899415 0.812867257013792 0.515059354458942 0.364140801109762 0.327551208710094 0.159453302961276 0.276067105542578 0.354313346816502 0.489987039591956 0.284107724178751 0.490875194554193 0.49103116544744 0.744967506736408 0.400945137709518 0.319795330988168 0.317770716206307 0.439214835701117 0.139421401185082 0.565326633165829 0.534176387223373 0.443414290033256 0.192815401500994 0.567452070149219 0.279542566709022 0.196239503468419 0.530152418820411 0.256377387514421 0.255401394353558 0.529355149181906 0.608715584647123
"na" 0.56366812802848 3.27203692674211 4.12029941582817 3.30598631837768 2.05337773068967 3.36554481839387 5.58351306014857 2.02209508778852 2.14474263088429 1.28851137345235 1.13998529051238 2.14514644749786 2.71104387291982 1.21486776877088 1.22138690589003 2.74289761120039 2.03943661971831 2.62218399140931 2.90297937356761 1.7782168436651 1.60183066361556 1.6800920598389 2.06652512384996 2.43214663376807 2.47789284532085 0.911551061102407 1.23877361412202 1.93963810019577 0.564652738565782 1.68796720520858 0.835225741888303 1.82224044462667 1.50721800831906 1.14324911398194 4.02612826603325 2.3495085995086 2.9229273103316 2.73391769717361 3.8108148817593 2.73382096689225 2.65062636707099 1.68314024143239 1.23146494837357 3.2853790429548 2.87022900763359 0.714338864498847 1.18521711022519 3.4584755403868 2.92274474695877 3.05752388595539 1.36368095751987 2.75706606554534 1.34249861598081 1.75398633257403 1.73072839244001 2.12435942275817 1.85375642794431 1.93844332642794 1.41789385465305 1.79877743260848 2.3458551275955 0 1.58070263602723 2.03699177055325 1.23630842641796 0.871383757406762 3.29773869346734 3.02357943068212 2.29769223017233 2.39981015098929 3.75499147654298 4.93011435832274 1.10898138006572 0.419703998232825 2.60863991795924 1.64285221232829 1.56099615014437 4.87736545857423
"iti" 0.685631407192537 2.31164383561644 2.901979076431 2.11310465710738 1.54886231774381 2.49328655154164 1.73136832015337 3.18603274807654 2.94764628244611 1.60164123236395 1.33611179210591 4.05229587789166 2.67776096822995 1.99995744771388 1.9921241602965 1.7677661863645 2.17464788732394 4.04515733666166 4.09982174688057 2.70437144974068 4.086302713305 2.86919831223629 4.27459306440198 3.71871695452943 3.62699200832269 2.7204101979775 2.2091462785176 2.85174329783743 3.45244817294507 2.99011333494092 3.35244986721065 2.80625028472507 2.60827012478591 5.65908311421059 0.926365795724466 2.71805896805897 4.84597789313646 5.51505671477339 3.57985640407692 5.63125582526239 5.05468283953072 3.71668151988982 0.927723002872448 2.77267625752474 0.867175572519084 2.1578986531736 2.61825234349747 2.95790671217292 2.77529095792301 4.9018266714089 3.14431472579221 2.11548465406624 2.75881158885403 1.2756264236902 1.94308770439584 3.29374553306671 3.16401187340608 3.1015093222847 3.67899840935913 3.82302835955507 2.40925661753051 3.8846636638854 3.55429667869706 0.529617860343844 3.84990781910856 4.11293133495992 1.91582914572864 2.62535189590935 3.2852967852464 1.84212868203257 2.03862410386942 0.686149936467598 3.55512960934648 2.03225093881158 2.17920779387258 2.55401394353558 2.5415062560154 2.13687186409597
"atha" 0.0395556581072618 0.21962477665277 0.288754136958308 0.0852058329478784 0.100903082589173 0.0725248446596233 0.383417205847112 0.128230420201223 0.087989441267048 0.0611862942700835 0.0367737190487865 0.177704439437692 0.3267776096823 0.0553179719580434 0.0547518268157601 0.16887750932912 0.208450704225352 0.153485469480005 0.17825311942959 0.0987898246480613 0.13076168682576 0.0920598388952819 0.240622788393489 0.0704970038773352 0.099304865938431 0.0569719413189004 0.216785382471353 0.259146513970147 0.125030249253852 0.096455268869062 0.242484892806282 0.1640016400164 0.0929777342794226 0.0457299645592775 0.166270783847981 0.322481572481572 0.330781136572203 0.191836614231325 0.16819802179043 0.228451594602261 0.320143169616226 0.151907964028194 0.269777191211862 0.219365370880522 1.55114503816794 0.119056477416474 0.0323241030061416 0.159271899886234 0.147453789035758 0.427104897570822 0.166781124300991 0.138720305184671 0.0692009595866396 0.546697038724374 0.233595243151412 0.174875686196986 0.250010451941971 0.0947025747262504 0.319838541399422 0.115242008217256 0.14265335235378 0.168352654507864 0.721823747087578 0.105923572068769 1.03025702201497 0.557685604740328 0.0942211055276382 0.127612366215428 0.0705431825052907 0.0533950342618136 0.502066646428321 0.406607369758577 0.0547645125958379 0.0662690523525514 0.224330214075119 0.0621246634914061 0.102261790182868 0.203754170593179
"tathā" 0.210963509905396 0.636539606908874 0.35094733568779 0.35543004601115 0.595328187276121 0.623321637885411 0.227653965971723 0.246596961925429 0.10998680158381 0.273538727325079 0.13483696984555 0.425221337225907 0.59606656580938 0.248930873811195 0.24638322067092 0.648271729360172 0.405633802816901 0.551535698021555 0.916730328495034 0.518646579402322 0.29421379535796 0.383582662063675 0.283085633404105 0.158618258724004 0.496524329692155 0.413046574562028 0.350985857334572 0.666538413661208 1.23820279099782 0.192910537738124 0.346406989723259 0.970343036763701 0.533398580866161 0.194352349376929 0.320665083135392 0.522113022113022 0.293799394595187 0.760460014363152 0.876135964251644 0.508064189326093 0.188904354742494 0.492181803451349 0.508500892787827 0.530558106315682 0.451908396946565 0.275318104025597 0.161620515030708 0.477815699658703 0.621412396650692 0.0802531622481829 0.564112626312175 1.0750823651812 0.369071784462078 0.592255125284738 0.499044383096199 0.366478611943249 0.427275387767047 0.364013021604025 0.456667863923239 0.2054314059525 0.285306704707561 0.506534741194713 0.127918132395267 0.38295445286401 0.124715323717601 0.069710700592541 0.785175879396985 0.448887720355776 0.4333366925325 0.299605470024621 0.852345702075987 0.686149936467598 0.269258853596203 0.287165893527723 0.35892834252019 0.379650721336371 0.439124157844081 0.636731783103685
