trigram	abs_rho_x	junction_share	final_share	particle_share	pronoun_share	verb_narrative_share	verb_prescriptive_share	numeral_list_share	content_share
vād	0.4166	0.259	0.028	0.127	0.000	0.083	0.004	0.153	0.633
ahā	0.4160	0.007	0.023	0.000	0.000	0.001	0.002	0.006	0.991
aṃs	0.4159	0.754	0.017	0.028	0.017	0.000	0.002	0.019	0.934
śya	0.4136	0.001	0.200	0.025	0.000	0.000	0.001	0.004	0.969
acc	0.4129	0.164	0.000	0.011	0.000	0.020	0.008	0.011	0.951
yam	0.4110	0.187	0.287	0.004	0.058	0.003	0.006	0.008	0.921
bhi	0.4089	0.000	0.004	0.000	0.005	0.007	0.004	0.094	0.889
ṃga	0.4071	0.679	0.006	0.046	0.000	0.002	0.006	0.008	0.940
apā	0.4045	0.323	0.010	0.000	0.000	0.001	0.005	0.024	0.970
tit	0.4024	0.327	0.000	0.044	0.000	0.001	0.001	0.010	0.943
bra	0.3989	0.000	0.000	0.000	0.000	0.137	0.002	0.014	0.847
asu	0.3978	0.438	0.065	0.000	0.000	0.002	0.001	0.020	0.977
mās	0.3957	0.313	0.007	0.035	0.000	0.129	0.002	0.013	0.822
yād	0.3927	0.183	0.126	0.000	0.041	0.001	0.003	0.041	0.914
āda	0.3866	0.198	0.033	0.000	0.000	0.008	0.008	0.129	0.855
anu	0.3843	0.007	0.020	0.023	0.000	0.002	0.005	0.008	0.962
dev	0.3837	0.018	0.000	0.011	0.000	0.001	0.001	0.005	0.981
pūr	0.3823	0.001	0.000	0.000	0.000	0.002	0.007	0.007	0.983
jag	0.3820	0.005	0.000	0.000	0.000	0.119	0.000	0.008	0.873
hām	0.3819	0.197	0.116	0.090	0.000	0.000	0.002	0.010	0.898
hād	0.3797	0.202	0.061	0.109	0.000	0.002	0.003	0.040	0.846
rūp	0.3794	0.001	0.000	0.000	0.000	0.000	0.002	0.017	0.981
tām	0.3772	0.171	0.392	0.000	0.060	0.001	0.003	0.007	0.929
ato	0.3768	0.018	0.733	0.000	0.000	0.001	0.003	0.011	0.984
naḥ	0.3762	0.000	0.924	0.215	0.055	0.000	0.000	0.008	0.722
mam	0.3731	0.105	0.289	0.004	0.235	0.005	0.003	0.012	0.741
rak	0.3727	0.070	0.001	0.031	0.000	0.003	0.009	0.028	0.931
evā	0.3724	0.160	0.124	0.064	0.000	0.003	0.003	0.008	0.922
akr	0.3702	0.088	0.000	0.000	0.000	0.021	0.003	0.043	0.933
śaṃ	0.3671	0.000	0.534	0.000	0.000	0.000	0.001	0.013	0.986
ayo	0.3660	0.103	0.243	0.000	0.022	0.001	0.007	0.023	0.947
aḥt	0.3642	0.978	0.000	0.017	0.006	0.000	0.000	0.042	0.936
kār	0.3622	0.008	0.000	0.000	0.000	0.048	0.017	0.008	0.927
aṃg	0.3622	0.629	0.000	0.011	0.016	0.001	0.001	0.019	0.952
āmā	0.3621	0.308	0.045	0.005	0.040	0.001	0.003	0.012	0.939
ābh	0.3619	0.299	0.000	0.006	0.007	0.011	0.019	0.014	0.943
rva	0.3610	0.026	0.025	0.032	0.000	0.001	0.004	0.007	0.956
tsa	0.3603	0.314	0.051	0.014	0.047	0.001	0.008	0.018	0.913
tva	0.3561	0.038	0.003	0.000	0.145	0.002	0.002	0.008	0.843
āga	0.3536	0.151	0.033	0.011	0.000	0.004	0.002	0.012	0.972
yan	0.3528	0.192	0.095	0.003	0.016	0.001	0.001	0.009	0.969
eta	0.3527	0.342	0.086	0.118	0.147	0.004	0.002	0.005	0.724
kaṃ	0.3520	0.000	0.876	0.000	0.027	0.000	0.001	0.056	0.916
māt	0.3513	0.117	0.146	0.012	0.067	0.002	0.002	0.043	0.875
nar	0.3495	0.083	0.071	0.018	0.013	0.003	0.003	0.005	0.957
āyā	0.3492	0.081	0.101	0.001	0.027	0.001	0.010	0.017	0.945
tta	0.3471	0.116	0.010	0.038	0.035	0.001	0.001	0.054	0.871
atu	0.3467	0.303	0.069	0.232	0.001	0.001	0.001	0.256	0.509
str	0.3445	0.070	0.000	0.000	0.000	0.001	0.002	0.051	0.946
jan	0.3426	0.006	0.137	0.000	0.000	0.001	0.002	0.030	0.967
sat	0.3415	0.178	0.007	0.000	0.133	0.017	0.001	0.020	0.828
āṃś	0.3412	0.399	0.249	0.000	0.025	0.001	0.001	0.023	0.949
avi	0.3382	0.351	0.002	0.011	0.000	0.002	0.008	0.023	0.957
tān	0.3370	0.081	0.187	0.000	0.101	0.002	0.002	0.014	0.881
har	0.3370	0.019	0.001	0.005	0.000	0.003	0.007	0.007	0.977
isa	0.3358	0.580	0.001	0.029	0.044	0.002	0.012	0.039	0.874
vid	0.3341	0.013	0.005	0.002	0.002	0.008	0.005	0.043	0.940
aṇa	0.3317	0.001	0.042	0.000	0.000	0.001	0.002	0.010	0.987
are	0.3311	0.026	0.406	0.001	0.000	0.000	0.100	0.016	0.883
aka	0.3281	0.179	0.022	0.003	0.004	0.001	0.004	0.023	0.965
aṃm	0.3275	0.932	0.001	0.015	0.025	0.000	0.000	0.017	0.943
yav	0.3258	0.445	0.000	0.007	0.045	0.001	0.001	0.008	0.939
hak	0.3246	0.097	0.052	0.021	0.000	0.010	0.004	0.014	0.950
aty	0.3226	0.020	0.065	0.000	0.000	0.006	0.004	0.020	0.970
ṃśa	0.3223	0.487	0.005	0.003	0.000	0.003	0.003	0.132	0.860
lak	0.3218	0.012	0.000	0.002	0.000	0.002	0.004	0.034	0.958
āma	0.3205	0.295	0.135	0.000	0.046	0.024	0.003	0.009	0.918
ārt	0.3193	0.001	0.000	0.000	0.000	0.001	0.002	0.004	0.993
āry	0.3188	0.001	0.006	0.000	0.000	0.001	0.002	0.008	0.989
eva	0.3184	0.086	0.151	0.274	0.002	0.005	0.002	0.008	0.710
any	0.3179	0.054	0.010	0.020	0.000	0.001	0.007	0.005	0.966
mat	0.3130	0.154	0.030	0.036	0.007	0.032	0.003	0.007	0.915
vās	0.3112	0.284	0.020	0.144	0.000	0.104	0.004	0.009	0.740
aṇḍ	0.3104	0.000	0.000	0.000	0.000	0.001	0.003	0.015	0.981
yaj	0.3099	0.162	0.002	0.003	0.019	0.003	0.044	0.013	0.919
ārā	0.3090	0.211	0.058	0.000	0.000	0.001	0.002	0.015	0.982
dha	0.3081	0.000	0.020	0.001	0.000	0.003	0.005	0.013	0.978
rut	0.3063	0.025	0.002	0.257	0.000	0.043	0.001	0.003	0.697
ati	0.3046	0.026	0.349	0.035	0.000	0.001	0.004	0.013	0.946
ina	0.3013	0.240	0.008	0.113	0.028	0.001	0.003	0.016	0.839
hūt	0.3007	0.001	0.057	0.000	0.000	0.101	0.001	0.017	0.881
asm	0.3003	0.039	0.000	0.013	0.224	0.004	0.002	0.007	0.749
asa	0.2984	0.386	0.005	0.016	0.039	0.001	0.005	0.029	0.910
mān	0.2962	0.030	0.144	0.001	0.008	0.001	0.005	0.008	0.977
aḥk	0.2938	0.960	0.000	0.027	0.054	0.000	0.001	0.019	0.898
ṃvi	0.2937	0.944	0.000	0.027	0.000	0.005	0.024	0.001	0.943
ānt	0.2936	0.004	0.000	0.000	0.000	0.003	0.002	0.015	0.979
viṣ	0.2917	0.001	0.000	0.000	0.000	0.002	0.002	0.028	0.968
rāt	0.2898	0.064	0.127	0.034	0.000	0.003	0.002	0.044	0.917
jñā	0.2880	0.000	0.091	0.000	0.000	0.085	0.002	0.006	0.907
śar	0.2880	0.010	0.000	0.000	0.000	0.001	0.001	0.030	0.968
iṣṭ	0.2870	0.003	0.000	0.000	0.000	0.000	0.004	0.015	0.981
jay	0.2843	0.010	0.000	0.000	0.000	0.046	0.115	0.005	0.834
cch	0.2843	0.083	0.000	0.000	0.000	0.027	0.008	0.010	0.955
ukt	0.2839	0.001	0.000	0.053	0.000	0.085	0.003	0.012	0.846
ate	0.2838	0.139	0.676	0.000	0.099	0.000	0.001	0.004	0.895
gat	0.2819	0.005	0.021	0.070	0.000	0.004	0.002	0.006	0.917
tap	0.2812	0.075	0.000	0.001	0.000	0.010	0.002	0.027	0.960
sya	0.2801	0.005	0.782	0.000	0.190	0.000	0.000	0.012	0.798
dan	0.2779	0.061	0.019	0.004	0.000	0.000	0.002	0.015	0.978
yaś	0.2774	0.309	0.119	0.004	0.029	0.001	0.002	0.011	0.954
aśa	0.2756	0.241	0.064	0.001	0.000	0.001	0.002	0.200	0.795
stu	0.2752	0.289	0.438	0.260	0.000	0.015	0.001	0.018	0.706
ddh	0.2751	0.042	0.000	0.000	0.000	0.002	0.006	0.008	0.983
ṣṭh	0.2745	0.000	0.000	0.000	0.000	0.000	0.003	0.049	0.948
ṣaṇ	0.2735	0.000	0.000	0.000	0.000	0.000	0.002	0.014	0.984
hay	0.2729	0.050	0.000	0.010	0.000	0.018	0.033	0.006	0.933
taṃ	0.2725	0.000	0.820	0.000	0.154	0.000	0.000	0.022	0.824
daś	0.2721	0.021	0.027	0.000	0.000	0.001	0.005	0.500	0.494
sar	0.2684	0.024	0.000	0.023	0.018	0.003	0.003	0.004	0.950
ḥta	0.2658	0.919	0.000	0.150	0.134	0.000	0.005	0.003	0.709
cav	0.2651	0.854	0.000	0.616	0.000	0.032	0.000	0.064	0.288
nam	0.2640	0.134	0.431	0.120	0.015	0.004	0.006	0.013	0.843
dra	0.2623	0.020	0.094	0.010	0.000	0.001	0.002	0.009	0.978
adh	0.2606	0.141	0.000	0.007	0.000	0.003	0.005	0.028	0.957
bhu	0.2600	0.000	0.002	0.000	0.000	0.031	0.002	0.033	0.934
cat	0.2583	0.530	0.003	0.375	0.000	0.013	0.001	0.230	0.381
van	0.2578	0.103	0.087	0.034	0.004	0.009	0.002	0.015	0.937
vāt	0.2570	0.484	0.054	0.247	0.000	0.193	0.002	0.017	0.541
āpa	0.2561	0.171	0.044	0.006	0.000	0.007	0.018	0.023	0.946
aṇā	0.2549	0.001	0.193	0.000	0.000	0.001	0.002	0.017	0.979
vit	0.2524	0.033	0.040	0.017	0.000	0.001	0.001	0.089	0.892
aja	0.2506	0.211	0.047	0.000	0.000	0.015	0.003	0.018	0.965
mit	0.2500	0.268	0.000	0.083	0.000	0.006	0.001	0.013	0.896
yaḥ	0.2449	0.000	0.855	0.013	0.128	0.000	0.000	0.052	0.807
yās	0.2447	0.286	0.057	0.000	0.068	0.005	0.003	0.012	0.912
śat	0.2440	0.032	0.048	0.000	0.000	0.000	0.002	0.340	0.657
hāy	0.2436	0.104	0.000	0.042	0.000	0.001	0.001	0.014	0.942
dad	0.2432	0.031	0.007	0.004	0.000	0.079	0.032	0.005	0.881
uta	0.2410	0.229	0.038	0.081	0.066	0.002	0.001	0.014	0.837
aya	0.2404	0.110	0.065	0.020	0.040	0.022	0.002	0.022	0.894
ity	0.2403	0.005	0.003	0.140	0.000	0.035	0.005	0.011	0.809
nāt	0.2399	0.081	0.145	0.007	0.000	0.085	0.002	0.009	0.897
ari	0.2388	0.008	0.047	0.007	0.000	0.002	0.015	0.006	0.970
amu	0.2376	0.341	0.001	0.003	0.020	0.011	0.011	0.016	0.939
hāv	0.2375	0.170	0.013	0.095	0.000	0.001	0.006	0.012	0.885
laṃ	0.2375	0.000	0.905	0.000	0.000	0.001	0.001	0.017	0.981
itā	0.2337	0.037	0.298	0.000	0.013	0.001	0.001	0.010	0.975
paś	0.2336	0.009	0.029	0.019	0.000	0.001	0.008	0.006	0.966
rād	0.2335	0.099	0.043	0.012	0.000	0.001	0.005	0.049	0.933
āśc	0.2329	0.486	0.000	0.000	0.000	0.000	0.000	0.024	0.975
aiś	0.2319	0.046	0.258	0.034	0.003	0.000	0.003	0.016	0.944
bhy	0.2318	0.000	0.000	0.000	0.002	0.001	0.012	0.030	0.955
āṃp	0.2301	0.960	0.000	0.000	0.075	0.000	0.000	0.026	0.899
sad	0.2289	0.127	0.004	0.323	0.089	0.011	0.003	0.004	0.571
