trigram	abs_rho_x	junction_share	final_share	particle_share	pronoun_share	verb_narrative_share	verb_prescriptive_share	numeral_list_share	content_share
vār	0.1233	0.129	0.000	0.064	0.000	0.040	0.003	0.157	0.735
ibh	0.1228	0.216	0.000	0.001	0.003	0.002	0.006	0.085	0.903
kar	0.1212	0.001	0.000	0.003	0.000	0.000	0.001	0.010	0.985
auv	0.1195	0.940	0.000	0.000	0.005	0.867	0.000	0.004	0.123
alā	0.1168	0.012	0.130	0.000	0.000	0.002	0.003	0.021	0.974
ivā	0.1168	0.168	0.051	0.084	0.000	0.001	0.008	0.011	0.896
vac	0.1141	0.383	0.016	0.240	0.008	0.006	0.001	0.009	0.736
ṃpr	0.1137	0.872	0.000	0.051	0.000	0.028	0.018	0.001	0.903
ṇam	0.1136	0.091	0.553	0.000	0.000	0.002	0.005	0.014	0.980
āṇā	0.1134	0.000	0.050	0.000	0.000	0.001	0.002	0.014	0.984
lok	0.1123	0.001	0.000	0.000	0.000	0.000	0.006	0.021	0.974
ṇḍa	0.1121	0.000	0.011	0.000	0.000	0.001	0.003	0.012	0.984
hāt	0.1092	0.122	0.062	0.070	0.000	0.004	0.003	0.016	0.907
bha	0.1091	0.000	0.015	0.000	0.017	0.005	0.044	0.007	0.927
aṃn	0.1077	0.909	0.000	0.016	0.029	0.000	0.001	0.017	0.936
muk	0.1073	0.071	0.000	0.024	0.000	0.025	0.003	0.021	0.927
aṃb	0.1063	0.747	0.000	0.024	0.021	0.001	0.001	0.016	0.937
uvā	0.1059	0.036	0.011	0.010	0.000	0.769	0.000	0.001	0.219
ara	0.1040	0.040	0.046	0.000	0.000	0.001	0.001	0.015	0.983
yak	0.1038	0.290	0.020	0.005	0.029	0.047	0.002	0.013	0.904
arṇ	0.1037	0.000	0.000	0.000	0.000	0.001	0.002	0.028	0.969
tra	0.1037	0.000	0.318	0.220	0.000	0.001	0.003	0.018	0.758
āka	0.1021	0.320	0.010	0.007	0.010	0.001	0.001	0.007	0.974
tan	0.1011	0.037	0.024	0.000	0.000	0.001	0.002	0.013	0.984
raj	0.1004	0.044	0.000	0.017	0.000	0.001	0.047	0.006	0.928
oma	0.0996	0.610	0.012	0.000	0.075	0.001	0.006	0.005	0.914
āṇa	0.0991	0.001	0.042	0.000	0.000	0.001	0.003	0.011	0.985
ṛta	0.0982	0.000	0.008	0.000	0.000	0.000	0.001	0.007	0.991
urā	0.0966	0.104	0.195	0.146	0.000	0.001	0.002	0.024	0.827
aṃt	0.0953	0.826	0.000	0.015	0.018	0.000	0.001	0.020	0.946
att	0.0947	0.128	0.000	0.008	0.063	0.068	0.002	0.028	0.833
aḥp	0.0947	0.964	0.000	0.064	0.041	0.000	0.000	0.021	0.874
nan	0.0944	0.170	0.013	0.049	0.018	0.001	0.001	0.018	0.913
syā	0.0939	0.003	0.070	0.000	0.043	0.000	0.044	0.008	0.904
iva	0.0934	0.082	0.418	0.337	0.004	0.001	0.007	0.018	0.633
tas	0.0914	0.033	0.089	0.032	0.229	0.001	0.001	0.017	0.719
dar	0.0913	0.023	0.000	0.000	0.000	0.005	0.008	0.009	0.978
tāḥ	0.0901	0.000	0.960	0.000	0.032	0.000	0.000	0.011	0.957
nir	0.0898	0.029	0.044	0.001	0.000	0.001	0.013	0.006	0.979
rab	0.0878	0.107	0.000	0.034	0.000	0.013	0.007	0.015	0.932
maṃ	0.0876	0.004	0.782	0.000	0.000	0.001	0.002	0.024	0.973
ḥpa	0.0867	0.978	0.000	0.015	0.000	0.000	0.009	0.069	0.906
nām	0.0864	0.041	0.304	0.002	0.000	0.001	0.002	0.015	0.980
aśc	0.0861	0.439	0.000	0.008	0.000	0.001	0.003	0.018	0.969
uru	0.0846	0.057	0.081	0.000	0.000	0.001	0.002	0.005	0.992
san	0.0835	0.069	0.050	0.000	0.051	0.015	0.004	0.011	0.919
ātm	0.0832	0.003	0.000	0.000	0.000	0.000	0.003	0.013	0.984
naṃ	0.0830	0.000	0.940	0.000	0.009	0.000	0.001	0.011	0.979
ānā	0.0828	0.111	0.035	0.002	0.004	0.000	0.001	0.015	0.977
ātā	0.0828	0.147	0.367	0.000	0.052	0.001	0.001	0.009	0.936
pra	0.0826	0.000	0.006	0.022	0.000	0.004	0.013	0.006	0.955
nār	0.0818	0.042	0.000	0.003	0.000	0.001	0.003	0.007	0.986
vāc	0.0817	0.075	0.004	0.026	0.000	0.706	0.001	0.001	0.266
inā	0.0800	0.101	0.321	0.072	0.000	0.001	0.005	0.010	0.912
eśa	0.0796	0.157	0.133	0.001	0.000	0.001	0.011	0.020	0.966
taḥ	0.0789	0.000	0.981	0.025	0.000	0.000	0.000	0.008	0.967
ṣṭa	0.0788	0.000	0.029	0.000	0.000	0.001	0.004	0.073	0.921
ath	0.0774	0.001	0.000	0.385	0.000	0.004	0.002	0.009	0.600
ṇaṃ	0.0769	0.000	0.989	0.000	0.000	0.000	0.000	0.032	0.968
dhi	0.0766	0.000	0.084	0.003	0.000	0.002	0.005	0.012	0.978
vaṃ	0.0764	0.002	0.886	0.149	0.000	0.001	0.000	0.010	0.841
vak	0.0748	0.180	0.002	0.076	0.011	0.004	0.002	0.019	0.889
rṇa	0.0746	0.000	0.039	0.000	0.000	0.001	0.002	0.020	0.976
aśā	0.0740	0.165	0.022	0.000	0.000	0.001	0.002	0.097	0.900
rāp	0.0736	0.056	0.000	0.019	0.000	0.001	0.005	0.005	0.971
mya	0.0731	0.102	0.268	0.011	0.000	0.001	0.003	0.007	0.977
śak	0.0712	0.019	0.000	0.000	0.000	0.001	0.003	0.031	0.965
tya	0.0707	0.055	0.179	0.071	0.000	0.027	0.009	0.006	0.887
can	0.0700	0.277	0.007	0.200	0.000	0.006	0.002	0.026	0.766
vad	0.0699	0.129	0.075	0.093	0.008	0.003	0.009	0.010	0.876
ṃst	0.0696	0.550	0.000	0.000	0.000	0.014	0.003	0.009	0.975
iya	0.0685	0.244	0.014	0.050	0.064	0.002	0.003	0.009	0.872
nav	0.0677	0.324	0.000	0.108	0.035	0.001	0.004	0.096	0.756
tha	0.0639	0.000	0.204	0.105	0.000	0.001	0.001	0.016	0.876
ākṣ	0.0612	0.069	0.000	0.000	0.000	0.002	0.004	0.015	0.980
āst	0.0602	0.276	0.000	0.030	0.000	0.003	0.001	0.014	0.952
ṃka	0.0591	0.761	0.001	0.018	0.019	0.002	0.002	0.002	0.957
aṃj	0.0588	0.643	0.000	0.018	0.018	0.001	0.003	0.019	0.941
sta	0.0569	0.355	0.006	0.158	0.079	0.003	0.001	0.015	0.744
vai	0.0565	0.009	0.031	0.352	0.000	0.001	0.002	0.006	0.639
kām	0.0561	0.030	0.075	0.000	0.002	0.000	0.005	0.011	0.981
sād	0.0558	0.082	0.009	0.042	0.000	0.003	0.007	0.012	0.935
ryā	0.0549	0.018	0.168	0.000	0.004	0.002	0.044	0.013	0.937
tay	0.0545	0.045	0.000	0.001	0.090	0.016	0.028	0.037	0.828
vap	0.0540	0.407	0.000	0.181	0.040	0.008	0.005	0.015	0.751
eṇa	0.0531	0.000	0.854	0.001	0.000	0.000	0.001	0.031	0.966
vyā	0.0520	0.000	0.122	0.000	0.000	0.001	0.002	0.010	0.987
atī	0.0519	0.049	0.309	0.015	0.000	0.001	0.001	0.021	0.962
raṇ	0.0516	0.001	0.000	0.000	0.000	0.001	0.002	0.013	0.984
āsā	0.0504	0.282	0.053	0.041	0.005	0.001	0.003	0.009	0.941
udd	0.0501	0.001	0.000	0.000	0.000	0.001	0.007	0.006	0.985
tvā	0.0490	0.005	0.689	0.263	0.010	0.431	0.002	0.018	0.277
thi	0.0478	0.000	0.017	0.000	0.000	0.012	0.001	0.007	0.980
hav	0.0478	0.063	0.000	0.024	0.033	0.011	0.074	0.007	0.852
vya	0.0471	0.002	0.028	0.001	0.000	0.000	0.002	0.010	0.987
ndr	0.0443	0.018	0.000	0.000	0.000	0.001	0.001	0.018	0.979
ṃbh	0.0443	0.741	0.000	0.004	0.013	0.013	0.042	0.003	0.924
ave	0.0434	0.095	0.159	0.000	0.000	0.001	0.199	0.006	0.794
man	0.0433	0.095	0.018	0.004	0.003	0.002	0.004	0.011	0.977
dya	0.0408	0.074	0.289	0.114	0.014	0.001	0.002	0.029	0.841
iḥs	0.0392	0.914	0.000	0.003	0.025	0.000	0.001	0.052	0.918
eṣā	0.0370	0.001	0.039	0.000	0.090	0.000	0.001	0.007	0.903
pur	0.0359	0.000	0.010	0.127	0.000	0.001	0.002	0.025	0.845
kṣa	0.0349	0.000	0.023	0.000	0.000	0.003	0.009	0.017	0.970
pit	0.0345	0.124	0.000	0.044	0.000	0.003	0.001	0.005	0.948
āni	0.0339	0.167	0.636	0.015	0.002	0.001	0.002	0.018	0.962
nāṃ	0.0335	0.000	0.961	0.000	0.000	0.000	0.000	0.019	0.981
ait	0.0325	0.277	0.000	0.189	0.005	0.003	0.002	0.025	0.776
āny	0.0308	0.115	0.123	0.000	0.009	0.000	0.006	0.016	0.969
nna	0.0301	0.218	0.071	0.083	0.007	0.002	0.004	0.014	0.889
avy	0.0292	0.108	0.001	0.000	0.000	0.000	0.002	0.020	0.978
ast	0.0263	0.264	0.000	0.024	0.000	0.003	0.002	0.021	0.949
aṃk	0.0257	0.744	0.000	0.017	0.014	0.000	0.001	0.021	0.947
adā	0.0256	0.063	0.443	0.346	0.008	0.001	0.006	0.018	0.622
ādh	0.0254	0.126	0.000	0.000	0.000	0.003	0.004	0.014	0.979
hiḥ	0.0253	0.000	0.986	0.012	0.013	0.000	0.000	0.159	0.815
nas	0.0249	0.354	0.050	0.133	0.035	0.001	0.002	0.010	0.819
kha	0.0243	0.000	0.010	0.020	0.000	0.001	0.002	0.019	0.957
eya	0.0227	0.253	0.200	0.067	0.039	0.001	0.004	0.002	0.887
atr	0.0224	0.051	0.000	0.373	0.000	0.001	0.002	0.046	0.578
tma	0.0216	0.004	0.003	0.000	0.000	0.000	0.001	0.015	0.984
art	0.0212	0.001	0.000	0.008	0.000	0.001	0.004	0.010	0.977
raṃ	0.0209	0.001	0.934	0.000	0.000	0.000	0.000	0.036	0.963
aṃv	0.0167	0.891	0.000	0.024	0.028	0.000	0.002	0.019	0.927
car	0.0166	0.209	0.000	0.153	0.000	0.011	0.082	0.017	0.736
prā	0.0165	0.000	0.013	0.011	0.000	0.057	0.007	0.003	0.922
aḥs	0.0162	0.956	0.000	0.031	0.036	0.000	0.000	0.022	0.911
vas	0.0159	0.191	0.020	0.081	0.013	0.005	0.007	0.014	0.879
āla	0.0157	0.053	0.046	0.000	0.000	0.003	0.009	0.019	0.969
āra	0.0147	0.053	0.061	0.000	0.000	0.025	0.015	0.033	0.927
ḥpr	0.0139	0.974	0.000	0.005	0.000	0.038	0.009	0.001	0.946
ṃna	0.0129	0.952	0.001	0.418	0.016	0.012	0.012	0.026	0.516
āca	0.0109	0.223	0.602	0.181	0.000	0.504	0.017	0.007	0.291
nat	0.0107	0.464	0.020	0.201	0.045	0.031	0.001	0.011	0.710
pad	0.0105	0.011	0.006	0.000	0.000	0.000	0.004	0.021	0.974
obh	0.0103	0.554	0.000	0.010	0.014	0.041	0.046	0.006	0.884
eṣu	0.0094	0.000	0.926	0.000	0.054	0.000	0.000	0.016	0.929
tam	0.0093	0.025	0.449	0.002	0.047	0.001	0.002	0.057	0.891
ita	0.0091	0.104	0.007	0.025	0.028	0.001	0.001	0.011	0.935
ras	0.0087	0.112	0.031	0.044	0.001	0.007	0.002	0.020	0.926
aṃp	0.0087	0.833	0.000	0.018	0.024	0.000	0.001	0.018	0.939
cas	0.0080	0.846	0.008	0.615	0.000	0.016	0.001	0.019	0.349
iśc	0.0076	0.399	0.000	0.000	0.000	0.000	0.005	0.029	0.966
ṭha	0.0074	0.000	0.173	0.000	0.000	0.001	0.002	0.035	0.961
yāṃ	0.0066	0.000	0.897	0.000	0.014	0.000	0.000	0.055	0.930
bhā	0.0058	0.000	0.045	0.000	0.000	0.001	0.004	0.014	0.981
hān	0.0057	0.062	0.150	0.029	0.000	0.002	0.002	0.015	0.952
ajā	0.0051	0.161	0.084	0.005	0.000	0.000	0.002	0.008	0.984
rāh	0.0047	0.042	0.000	0.004	0.000	0.123	0.002	0.006	0.865
ame	0.0045	0.361	0.129	0.004	0.036	0.000	0.004	0.039	0.916
cai	0.0045	0.010	0.001	0.511	0.000	0.000	0.002	0.015	0.471
anā	0.0039	0.104	0.130	0.002	0.000	0.001	0.002	0.025	0.970
ṃsa	0.0038	0.866	0.008	0.047	0.060	0.002	0.018	0.019	0.855
mār	0.0036	0.085	0.000	0.004	0.000	0.001	0.007	0.009	0.980
rth	0.0034	0.000	0.000	0.000	0.000	0.001	0.002	0.032	0.965
sur	0.0033	0.006	0.036	0.001	0.000	0.002	0.001	0.008	0.989
tar	0.0033	0.015	0.010	0.009	0.000	0.002	0.004	0.034	0.950
raḥ	0.0031	0.000	0.966	0.000	0.000	0.000	0.000	0.016	0.984
cap	0.0027	0.884	0.000	0.649	0.000	0.019	0.002	0.027	0.304
ten	0.0016	0.200	0.000	0.000	0.291	0.000	0.002	0.008	0.699
atv	0.0009	0.229	0.006	0.127	0.043	0.154	0.003	0.060	0.613
āva	0.0004	0.215	0.028	0.052	0.006	0.003	0.008	0.010	0.922
