text	mds_x	fiedler	isomap1d	tsp_path	pca1
naradapurana_khanda-1_u	0.259384	-0.005563	-0.710414	120.000000	-8.928234
naradapurana_khanda-2_u	0.071178	-0.006640	-0.413193	118.000000	-8.185193
nilamatapurana_au	0.068113	-0.007316	-0.532460	112.000000	-4.792163
nrsimhapurana_pu	-0.069470	-0.006409	-0.095887	65.000000	-3.213573
padmapurana_a	0.031113	-0.005942	-0.395505	39.000000	-5.857841
pranavakalpa	0.413479	-0.008432	-0.893887	104.000000	-11.880711
ramayana_01-balakanda	-0.390068	-0.008221	0.311980	72.000000	7.420414
ramayana_02-ayodhyakanda_a	-0.352174	-0.007380	0.621943	71.000000	3.648887
ramayana_03-aranyakanda_a	-0.359019	-0.008054	0.672161	70.000000	2.488179
ramayana_04-kiskindhakanda	-0.315301	-0.007672	0.593475	67.000000	4.605157
ramayana_05-sundarakanda	-0.364974	-0.008167	0.687820	68.000000	4.262346
ramayana_06-yuddhakanda	-0.392858	-0.007914	0.743070	69.000000	4.257429
ramayana_07-uttarakanda	-0.309426	-0.007653	0.318409	66.000000	4.557941
saurapurana	0.139119	-0.005961	-0.610023	29.000000	-6.244553
sivadharmasastra	0.362610	-0.005924	-0.787055	125.000000	-12.378660
sivadharmottara	0.303466	-0.006059	-0.505939	124.000000	-7.787852
sivapurana_dharmasamhita	0.052611	-0.006502	-0.422109	81.000000	-4.216224
sivapurana_karvanamahatmya_au	0.208742	-0.006697	-0.549431	113.000000	-11.047523
sivapurana_rudrasamhita	0.031450	-0.007002	-0.512147	37.000000	-7.085320
sivapurana_sanatkumarasamhita	0.178625	-0.006982	-0.533688	82.000000	-6.919061
sivapurana_satarudrasamhita_au	0.018339	-0.006640	-0.504476	36.000000	-6.116632
sivapurana_umasamhita	0.100865	-0.005953	-0.186674	80.000000	-1.914925
sivapurana_vayaviyasamhita_au	0.275022	-0.006562	-0.692240	33.000000	-8.069291
sivapurana_vidyesvarasamhita_au	0.388803	-0.006724	-1.135372	34.000000	-15.016114
skandamahapurana_himavatkhanda	0.042528	-0.007394	-0.484026	61.000000	-3.251846
skandamahapurana_kasikhanda	0.168657	-0.005033	-0.392180	117.000000	-8.102091
skandamahapurana_revakhanda	0.085365	-0.005907	-0.454761	115.000000	-4.690570
skandamahapurana_sutasamhita_khanda-4	0.410233	-0.007019	-0.738840	105.000000	-12.197548
skandapurana	-0.114725	-0.007347	-0.060338	63.000000	1.392567
skandapurana_adhyaya-1-31_pu	-0.063941	-0.008128	-0.145856	62.000000	0.221184
skandapurana_pasupata_adhyaya174-183_u	0.458952	-0.007832	-0.554016	107.000000	-8.987876
vamanapurana_saromahatmya_u	0.056942	-0.006600	-0.493320	83.000000	-5.071737
vamanapurana_u	-0.106862	-0.006561	-0.096426	64.000000	-1.962481
vayu_ba	0.160173	-0.007601	-0.260050	17.000000	7.959112
vayupurana	0.158927	-0.007132	-0.275602	16.000000	5.735949
vayupurana_01_frame-and-cosmogony_iast	0.346342	-0.008722	-0.377061	21.000000	6.319082
vayupurana_02_pashupata-yoga_iast	0.483314	-0.009811	-0.527321	108.000000	-9.209678
vayupurana_03_kalpas-and-shiva-lineages_iast	0.157774	-0.008034	-0.470009	27.000000	5.312042
vayupurana_04_bhuvana-vinyasa_iast	0.127073	-0.009872	-0.458551	97.000000	8.326610
vayupurana_05_jyotis-and-purvardha-close_iast	0.252002	-0.007943	-0.391909	19.000000	5.958782
vayupurana_06_prthu-and-prajapati-lineages_iast	0.153641	-0.009483	-0.214864	26.000000	13.220943
vayupurana_07_shraddha-kalpa_iast	0.251923	-0.007386	-0.274964	87.000000	-0.812484
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.110741	-0.007704	0.107350	13.000000	10.628458
vayupurana_09_upasamhara_iast	0.323668	-0.008338	-0.466569	20.000000	3.521212
vayupurana_10_gaya-mahatmya_iast	0.238015	-0.008152	-0.710916	84.000000	-10.177343
vayupurana_revakhanda	0.079527	-0.005868	-0.499644	114.000000	-7.124965
visnudharma_pu	0.062938	-0.006746	-0.042543	41.000000	-4.855874
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.010767	-0.010371	-0.552548	111.000000	-4.428471
visnupurana_amsa-1_u	0.059115	-0.007845	-0.058192	92.000000	2.427570
visnupurana_amsa-2_u	0.177346	-0.007160	-0.186578	98.000000	1.037874
visnupurana_amsa-3_u	0.154992	-0.007989	-0.067443	88.000000	-1.407658
visnupurana_amsa-4_u	-0.132861	-0.009285	0.305039	9.000000	7.482015
visnupurana_amsa-5_u	-0.219413	-0.007356	0.388448	94.000000	0.317467
visnupurana_amsa-6_u	0.162651	-0.007630	-0.076776	99.000000	-3.793558
visnupurana_u	-0.011087	-0.007038	0.224217	93.000000	1.564797
