model	axis1_share	axis1_share_sd	ratio12	ratio12_sd	rho_order	rho_order_sd	rho_logT	rho_logT_sd
real	0.0872	0.0000	1.2095	0.0000	nan	nan	0.0644	0.0000
exchangeable	0.0692	0.0020	1.1427	0.0329	nan	nan	0.1641	0.1197
heterogeneity	0.0247	0.0009	1.0853	0.0514	nan	nan	0.1159	0.0851
drift	0.4094	0.0146	2.8101	0.3165	0.9956	0.0018	0.0645	0.0379
