feature	class	rho_x
aṣṭa	numeral_list	0.3617
devaḥ	content	0.3628
vidyā	content	0.3647
sarva	content	0.3656
ādyaiḥ	numeral_list	0.3666
pāda	content	0.3679
viśva	content	0.3703
koṭi	numeral_list	0.3712
uktam	content	0.3725
phala	content	0.3726
pūrva	content	0.3863
pūjayet	verb_prescriptive	0.3879
veda	content	0.3886
catur	numeral_list	0.3941
ādibhiḥ	numeral_list	0.3986
rudra	content	0.4053
snānam	content	0.4159
smṛtāḥ	content	0.4192
sadā	particle	0.4214
tri	numeral_list	0.4242
ādikam	numeral_list	0.4283
jāyate	content	0.4584
proktam	content	0.4595
viṣṇu	content	0.4688
tad	pronoun	0.4717
paraḥ	content	0.4731
bhavet	verb_prescriptive	0.4734
smṛtaḥ	content	0.4751
śiva	content	0.4760
ādau	numeral_list	0.4767
eka	numeral_list	0.4793
jñānam	content	0.4969
ucyate	content	0.5071
smṛtam	content	0.5253
brahmā	content	0.5271
namaḥ	particle	0.5295
kramāt	numeral_list	0.5318
jñāna	content	0.5455
ādi	numeral_list	0.6337
brahma	content	0.6379
