text	stratum	x	retention	gain	frac_orig_present
ramayana_05-sundarakanda	2	-0.329413	0.031866	0.003447	1.0000
ramayana_06-yuddhakanda	2	-0.345777	0.033355	0.003022	1.0000
ramayana_07-uttarakanda	2	-0.271846	0.032005	0.004704	1.0000
saurapurana	5	0.100959	0.024594	0.009477	1.0000
sivadharmasastra	13	0.315355	0.019641	0.010494	0.9429
sivadharmottara	13	0.260083	0.022023	0.010344	0.9714
sivapurana_dharmasamhita	6	0.018306	0.024313	0.006836	0.9714
sivapurana_karvanamahatmya_au	6	0.157124	0.024077	0.010574	0.9429
sivapurana_rudrasamhita	6	0.039346	0.023031	0.007874	1.0000
sivapurana_sanatkumarasamhita	6	0.158065	0.021235	0.008301	1.0000
sivapurana_satarudrasamhita_au	6	0.055777	0.025218	0.007232	1.0000
sivapurana_umasamhita	6	0.130052	0.020878	0.005965	1.0000
sivapurana_vayaviyasamhita_au	6	0.217952	0.020164	0.007917	1.0000
sivapurana_vidyesvarasamhita_au	6	0.320123	0.021335	0.009578	1.0000
skandamahapurana_himavatkhanda	10	0.052847	0.021999	0.006356	1.0000
skandamahapurana_kasikhanda	10	0.152839	0.022505	0.007135	1.0000
skandamahapurana_revakhanda	10	0.059066	0.028104	0.009169	1.0000
skandamahapurana_sutasamhita_khanda-4	10	0.353044	0.019043	0.008798	1.0000
skandapurana	4	-0.108850	0.026641	0.006811	1.0000
skandapurana_adhyaya-1-31_pu	4	-0.027966	0.026511	0.007219	1.0000
skandapurana_pasupata_adhyaya174-183_u	4	0.411445	0.016690	0.005952	0.8857
vamanapurana_saromahatmya_u	5	0.091759	0.022889	0.009035	0.9714
vamanapurana_u	5	-0.076191	0.025393	0.007367	1.0000
vayupurana	3	0.196001	0.020527	0.007261	1.0000
vayupurana_01_frame-and-cosmogony_iast	3	0.338143	0.018169	0.002446	0.7429
vayupurana_02_pashupata-yoga_iast	3	0.480576	0.020125	0.007653	0.7143
vayupurana_03_kalpas-and-shiva-lineages_iast	3	0.215241	0.018114	0.007287	1.0000
vayupurana_04_bhuvana-vinyasa_iast	3	0.106549	0.019513	0.004262	0.9143
vayupurana_05_jyotis-and-purvardha-close_iast	3	0.299722	0.016931	0.007937	0.4571
vayupurana_06_prthu-and-prajapati-lineages_iast	3	0.250782	0.023065	0.007192	0.8857
vayupurana_07_shraddha-kalpa_iast	3	0.220000	0.019841	0.008730	0.8286
vayupurana_08_manu-candra-vishnu-vamsha_iast	3	0.027849	0.023492	0.004762	0.7714
vayupurana_09_upasamhara_iast	3	0.197037	0.019177	0.004309	0.8571
vayupurana_10_gaya-mahatmya_iast	3	0.281487	0.023154	0.013397	0.9714
vayupurana_revakhanda	5	0.054893	0.027907	0.010205	1.0000
visnudharma_pu	5	0.049721	0.022946	0.009464	1.0000
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	5	0.058807	0.027700	0.010582	0.9143
visnupurana_amsa-1_u	3	0.067727	0.020057	0.005747	1.0000
visnupurana_amsa-2_u	3	0.165275	0.025954	0.005989	0.7714
visnupurana_amsa-3_u	3	0.122672	0.022418	0.009209	1.0000
visnupurana_amsa-4_u	3	-0.129491	0.031388	0.005161	1.0000
visnupurana_amsa-5_u	3	-0.004392	0.019336	0.006402	0.9143
visnupurana_amsa-6_u	3	0.098107	0.018141	0.003779	0.7143
visnupurana_u	3	0.000953	0.024322	0.006464	1.0000
