lens	run	class	n_features	rho_alone	rho_removed
C3	position	interior	342	0.9573	0.9189
C3	position	junction	65	0.0792	0.9504
C3	position	final	46	0.0411	0.9006
C3	position	initial	45	0.8662	0.8299
C3	position	whole	2	0.0895	0.8933
C3	source-class	content	484	0.8995	0.9469
C3	source-class	particle	9	0.0105	0.8704
C3	source-class	verb_narrative	5	0.1084	0.8869
C3	source-class	numeral_list	2	0.4635	0.8752
