text	mds_x	fiedler	isomap1d	tsp_path	pca1
naradapurana_khanda-1_u	0.234991	-0.004838	0.864195	111.000000	-8.154689
naradapurana_khanda-2_u	0.036878	-0.006014	0.339027	25.000000	-4.733157
nilamatapurana_au	0.054624	-0.006783	0.750181	95.000000	-4.082232
nrsimhapurana_pu	-0.076931	-0.006000	0.005203	3.000000	-0.991469
padmapurana_a	0.019533	-0.005123	0.270380	105.000000	-3.714271
pranavakalpa	0.357676	-0.007236	0.765460	47.000000	-11.074100
ramayana_01-balakanda	-0.330153	-0.007428	-0.533809	10.000000	7.784629
ramayana_02-ayodhyakanda_a	-0.317589	-0.006568	-0.615577	9.000000	5.876256
ramayana_03-aranyakanda_a	-0.323761	-0.007422	-0.592872	8.000000	4.856872
ramayana_04-kiskindhakanda	-0.299283	-0.006842	-0.664170	6.000000	6.244860
ramayana_05-sundarakanda	-0.329413	-0.007395	-0.666186	7.000000	6.188606
ramayana_06-yuddhakanda	-0.345777	-0.006953	-0.551609	5.000000	5.876926
ramayana_07-uttarakanda	-0.271846	-0.007088	-0.550634	4.000000	5.466320
saurapurana	0.100959	-0.005125	0.554471	119.000000	-4.867963
sivadharmasastra	0.315355	-0.004976	1.322136	124.000000	-11.439331
sivadharmottara	0.260083	-0.004928	1.230775	123.000000	-8.995897
sivapurana_dharmasamhita	0.018306	-0.005794	0.363463	117.000000	-3.675503
sivapurana_karvanamahatmya_au	0.157124	-0.006999	0.705968	94.000000	-7.717346
sivapurana_rudrasamhita	0.039346	-0.006201	0.329578	103.000000	-5.050247
sivapurana_sanatkumarasamhita	0.158065	-0.006117	0.316356	116.000000	-6.587309
sivapurana_satarudrasamhita_au	0.055777	-0.007240	0.471975	102.000000	-4.995470
sivapurana_umasamhita	0.130052	-0.005155	0.690053	118.000000	-4.132196
sivapurana_vayaviyasamhita_au	0.217952	-0.006032	0.473126	122.000000	-7.718240
sivapurana_vidyesvarasamhita_au	0.320123	-0.006147	0.865784	99.000000	-12.655522
skandamahapurana_himavatkhanda	0.052847	-0.006456	0.452964	17.000000	-2.672091
skandamahapurana_kasikhanda	0.152839	-0.004049	0.683487	24.000000	-5.920281
skandamahapurana_revakhanda	0.059066	-0.005345	0.502306	108.000000	-2.838270
skandamahapurana_sutasamhita_khanda-4	0.353044	-0.006337	0.851440	46.000000	-11.446877
skandapurana	-0.108850	-0.006551	0.049515	15.000000	2.231176
skandapurana_adhyaya-1-31_pu	-0.027966	-0.007739	-0.037212	16.000000	0.786352
skandapurana_pasupata_adhyaya174-183_u	0.411445	-0.008669	0.396214	44.000000	-11.076771
vamanapurana_saromahatmya_u	0.091759	-0.006147	0.486660	93.000000	-5.791767
vamanapurana_u	-0.076191	-0.005901	-0.097582	14.000000	0.240419
vayupurana	0.196001	-0.005845	0.649213	21.000000	-2.144600
vayupurana_01_frame-and-cosmogony_iast	0.338143	-0.024413	-0.153573	42.000000	0.982845
vayupurana_02_pashupata-yoga_iast	0.480576	-0.013620	0.394040	43.000000	-10.302723
vayupurana_03_kalpas-and-shiva-lineages_iast	0.215241	-0.009078	0.645299	41.000000	-2.021161
vayupurana_04_bhuvana-vinyasa_iast	0.106549	-0.012658	0.563164	20.000000	3.186223
vayupurana_05_jyotis-and-purvardha-close_iast	0.299722	-0.022243	0.180958	33.000000	0.354297
vayupurana_06_prthu-and-prajapati-lineages_iast	0.250782	-0.018545	0.553892	35.000000	5.767288
vayupurana_07_shraddha-kalpa_iast	0.220000	-0.012330	0.415519	91.000000	-4.545871
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.027849	-0.022702	-0.003588	34.000000	7.458066
vayupurana_09_upasamhara_iast	0.197037	-0.007035	0.510228	19.000000	-2.873993
vayupurana_10_gaya-mahatmya_iast	0.281487	-0.007050	0.996857	92.000000	-10.789486
vayupurana_revakhanda	0.054893	-0.005233	0.480656	107.000000	-4.329773
visnudharma_pu	0.049721	-0.006062	-0.166158	26.000000	-2.547639
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.058807	-0.009260	0.537161	96.000000	-4.089662
visnupurana_amsa-1_u	0.067727	-0.007641	-0.045919	66.000000	-0.507238
visnupurana_amsa-2_u	0.165275	-0.010144	0.070200	31.000000	-2.901403
visnupurana_amsa-3_u	0.122672	-0.007664	0.178269	27.000000	-3.643581
visnupurana_amsa-4_u	-0.129491	-0.009236	-0.374469	64.000000	7.314043
visnupurana_amsa-5_u	-0.004392	-0.008365	-0.134578	67.000000	1.355464
visnupurana_amsa-6_u	0.098107	-0.028586	-0.354490	32.000000	0.454149
visnupurana_u	0.000953	-0.007078	-0.162342	65.000000	1.834947
