class	w1_signal_share	w1_rate_share	c3_signal_share	c3_token_share
particle	0.1169	0.3629	0.0404	0.0534
pronoun	0.1328	0.1793	0.0197	0.0209
verb_narrative	0.0476	0.0419	0.0124	0.0167
verb_prescriptive	0.0121	0.0068	0.0098	0.0071
numeral_list	0.0601	0.0257	0.0297	0.0232
content	0.6305	0.3834	0.8880	0.8786
